feature	coef	n
1	age	2.96605733332705	100
2	ahd	-36.7896498127573	100
3	bm_blasts	0.0892438635947727	100
4	eln_2017_adverse	19.1051624367657	100
5	eln_2017_favorable	-20.6090713605117	100
6	eln_2017_intermediate	2.38623618949861	100
7	full_component_CEBPA_bi	-11.7321604287857	100
8	full_component_CEBPA_bi_ITD	159.936661334271	80
9	full_component_DNMT3A_IDH1_2	-7.3413902274591	100
10	full_component_DNMT3A_IDH1_2_ITD	54.5305534557626	100
11	full_component_NPM1	-21.5799067864465	100
12	full_component_NPM1_ITD	-8.29540569896737	100
13	full_component_TP53_complex	53.8555690868618	100
14	full_component_WT1	36.1434827286725	100
15	full_component_WT1_ITD	58.0778366395445	100
16	full_component_additions	14.0991388815852	100
17	full_component_chr_splicing_1	-12.5696050848904	100
18	full_component_chr_splicing_multiple	7.53670296059482	100
19	full_component_inv_16	-73.435021390384	100
20	full_component_inv_3	70.5172622049393	100
21	full_component_no_events	-57.4818765832071	100
22	full_component_not_assigned	-21.1950568140976	100
23	full_component_not_assigned_ITD	39.802202550908	100
24	full_component_t_11	10.2040042568601	100
25	full_component_t_15_17	-123.820197814556	100
26	full_component_t_6_9	-10.8874639670167	100
27	full_component_t_6_9_ITD	64.1131462484128	100
28	full_component_t_8_21	-60.1714396771746	100
29	full_component_t_8_21_ITD	51.9515111751458	94
30	gender	3.63751237741582	100
31	hb	0.00872989974848483	100
32	overlap	2.20460976600275	100
33	perf_status	22.4165531008055	100
34	plt	-0.0444441181587112	100
35	secondary	4.94748132898658	100
36	wbc	0.180367355179004	100
