feature	coef	n
1	add_11	26.7958974618477	100
2	add_13	-4.30718565251172	100
3	add_21	-5.01857042781905	100
4	add_22	-30.8436906876888	100
5	add_8	-9.58863520036025	100
6	complex	6.03972639227618	100
7	del_12	8.81467937908736	100
8	del_16	14.9413715976017	100
9	del_17	37.2800876276795	100
10	del_18	-22.110698353978	100
11	del_20	10.5430346419153	100
12	del_3	-1.57576496952848	100
13	del_5	40.0493421081102	100
14	del_7	17.7515003861426	100
15	del_9	5.78546378772098	100
16	eln_2017_adverse	16.5169817503276	100
17	eln_2017_favorable	-18.7745322207672	100
18	eln_2017_intermediate	3.34365498082944	100
19	full_component_CEBPA_bi	-28.3010717464435	100
20	full_component_CEBPA_bi_ITD	183.078374442129	80
21	full_component_DNMT3A_IDH1_2	-20.716684933947	100
22	full_component_DNMT3A_IDH1_2_ITD	49.4220249619986	100
23	full_component_NPM1	-9.30681942591717	100
24	full_component_NPM1_ITD	6.95783982314589	100
25	full_component_TP53_complex	30.9677506802289	100
26	full_component_WT1	6.46663299527921	100
27	full_component_WT1_ITD	58.3566289861458	100
28	full_component_additions	20.3735597365804	100
29	full_component_chr_splicing_1	-5.56800935388479	100
30	full_component_chr_splicing_multiple	34.3173785123687	100
31	full_component_inv_16	-69.9917060713484	100
32	full_component_inv_3	49.3713219522787	100
33	full_component_no_events	-42.2080853757255	100
34	full_component_not_assigned	-29.6240894257587	100
35	full_component_not_assigned_ITD	31.086244303176	100
36	full_component_t_11	-3.21313217274754	100
37	full_component_t_15_17	-115.919676671082	100
38	full_component_t_6_9	-44.6764830379128	100
39	full_component_t_6_9_ITD	31.9260910078378	100
40	full_component_t_8_21	-73.3257486983266	100
41	full_component_t_8_21_ITD	36.1491966277987	94
42	minusy	8.28404131271932	100
43	others_transloc	14.2906863330705	100
44	overlap	9.75154980125098	100
