feature	coef	n
1	add_11	23.7114479061456	93
2	add_13	-1.67809009538038	63
3	add_21	-3.12912168860537	62
4	add_22	-25.4705061241669	85
5	add_8	-6.74701306590617	55
6	complex	0.0433471088923654	10
7	del_12	6.7848824054398	66
8	del_16	12.8031792905159	71
9	del_17	34.8080389868219	98
10	del_18	-19.0334005316356	76
11	del_20	7.60649259218237	70
12	del_3	-0.687313622171618	58
13	del_5	43.3074310518984	100
14	del_7	16.7558856501674	93
15	del_9	6.2962787108702	58
16	eln_2017_adverse	10.862603051434	80
17	eln_2017_favorable	-17.8031259702946	83
18	eln_2017_intermediate	0.155754795579765	5
19	full_component_CEBPA_bi	-27.9914032086402	83
20	full_component_CEBPA_bi_ITD	177.116146510606	80
21	full_component_DNMT3A_IDH1_2	-16.3458168716902	77
22	full_component_DNMT3A_IDH1_2_ITD	43.7481999982173	95
23	full_component_NPM1	-10.7829572121579	67
24	full_component_NPM1_ITD	3.85894462401725	51
25	full_component_TP53_complex	42.172785893633	100
26	full_component_WT1	5.56713410081125	53
27	full_component_WT1_ITD	58.9024620084145	98
28	full_component_additions	18.6940969360728	95
29	full_component_chr_splicing_1	-2.17615141921332	32
30	full_component_chr_splicing_multiple	40.5154888075167	100
31	full_component_inv_16	-84.5579234724448	100
32	full_component_inv_3	48.4647530552258	98
33	full_component_no_events	-39.599153547574	97
34	full_component_not_assigned	-26.3950297404008	97
35	full_component_not_assigned_ITD	26.9184955699194	87
36	full_component_t_11	-1.30620186831868	57
37	full_component_t_15_17	-132.683485478615	100
38	full_component_t_6_9	-33.0735024479421	70
39	full_component_t_6_9_ITD	27.188728116053	80
40	full_component_t_8_21	-88.9992645564158	100
41	full_component_t_8_21_ITD	25.6041371070655	63
42	minusy	8.58977154322189	53
43	others_transloc	12.4515169807484	74
44	overlap	5.33106553082934	54
