feature	coef	n
1	age	3.69942523159543	100
2	eln_2017_adverse	11.1867752566109	100
3	eln_2017_favorable	-30.4754026311536	100
4	eln_2017_intermediate	-5.61328149717208	100
5	full_component_CEBPA_bi	-21.9173731315591	100
6	full_component_CEBPA_bi_ITD	25.5304379052932	100
7	full_component_DNMT3A_IDH1_2	-28.9165242500797	100
8	full_component_DNMT3A_IDH1_2_ITD	22.0769506654315	100
9	full_component_NPM1	-34.7391548735137	100
10	full_component_NPM1_ITD	-7.93360332781318	100
11	full_component_TP53_complex	41.6274130160855	100
12	full_component_WT1	16.8088770855086	100
13	full_component_WT1_ITD	52.622603676041	100
14	full_component_additions	1.45457675571771	100
15	full_component_chr_splicing_1	-33.1008000880039	100
16	full_component_chr_splicing_multiple	-8.04410223922097	100
17	full_component_inv_16	-78.2058291284592	100
18	full_component_inv_3	49.1522192533156	100
19	full_component_no_events	-78.1457683024778	100
20	full_component_not_assigned	-42.5052544478946	100
21	full_component_not_assigned_ITD	32.8310982475959	100
22	full_component_t_11	0.936571426173699	100
23	full_component_t_15_17	-101.539735293417	100
24	full_component_t_6_9	-12.0278150047804	100
25	full_component_t_6_9_ITD	29.9797992611963	100
26	full_component_t_8_21	-74.6600244585938	100
27	full_component_t_8_21_ITD	6.33419648435853	100
28	gender	6.28191651513975	100
29	overlap	16.583355467501	100
