feature	coef	n
1	ASXL1	0.317876735236271	45
2	BCOR	0.00553701587109363	3
3	CBL	0.0068654667706332	4
4	CEBPA_mono	-0.0160761634394954	6
5	DNMT3A	0.327918910657006	33
6	EZH2	0.19185898563322	43
7	FLT3_TKD	-0.0511310202519444	13
8	FLT3_other	0.00720941842016008	3
9	GATA2	-0.0362463139313355	14
10	IDH1	-0.0593467697962379	16
11	IDH2_p.R140	0.094785035033491	18
12	IDH2_p.R172	-0.323444508482255	59
13	ITD	1.28286156881934	75
14	KIT	-0.0134726144816889	4
15	KRAS	0.199950930425794	30
16	MLL	0.0269362030958319	9
17	MYC	-0.0548863772152921	24
18	NF1	0.00799959868269125	3
19	NRAS_p.G12_13	0.00996448028541826	5
20	NRAS_p.Q61_62	0.17882097895087	37
21	PHF6	-0.0204313314386755	7
22	PTPN11	-0.0953658762093503	16
23	RAD21	-0.156341746972147	34
24	RUNX1	0.000127332936049853	2
25	SF3B1	0.152944013255852	38
26	SMC1A	0.0361850061025009	12
27	SMC3	-0.00231904660671535	4
28	SRSF2	0.695019126962382	66
29	STAG2	0.00574126898959946	7
30	TET2	2.32094990832379	98
31	TP53	5.88318180541153	100
32	U2AF1_p.S34	0.0954231022110864	36
33	WT1	0.165173302121666	28
34	eln_2017_adverse	7.83203298291108	99
35	eln_2017_favorable	-4.21114404785091	97
36	full_component_CEBPA_bi	-0.0656728637255096	25
37	full_component_CEBPA_bi_ITD	0.0455796289254299	22
38	full_component_DNMT3A_IDH1_2	-0.021629506074935	8
39	full_component_DNMT3A_IDH1_2_ITD	0.0583093596726834	35
40	full_component_NPM1	-0.0206496489432666	5
41	full_component_NPM1_ITD	0.0112040124790847	2
42	full_component_TP53_complex	0.744552930801257	50
43	full_component_WT1	0.00474277819736995	3
44	full_component_WT1_ITD	0.266859290919746	75
45	full_component_additions	0.795505102765547	77
46	full_component_chr_splicing_1	-0.0335068361645423	6
47	full_component_chr_splicing_multiple	3.20563815427259	99
48	full_component_inv_16	-1.86580668044488	100
49	full_component_inv_3	0.241428335803043	73
50	full_component_no_events	-0.177742039308917	50
51	full_component_not_assigned	-0.172890793999253	45
52	full_component_not_assigned_ITD	0.0356188647463919	15
53	full_component_t_11	-0.00293148433121091	2
54	full_component_t_15_17	-0.544460969821801	98
55	full_component_t_6_9	-0.0136397116966777	20
56	full_component_t_6_9_ITD	0.000434873560529448	1
57	full_component_t_8_21	-1.7922875034661	98
58	overlap	0.16270722628255	23
