feature	coef	n
1	ASXL1	9.85695689708786	100
2	BCOR	10.5791550263809	100
3	CBL	9.42012027449301	100
4	CEBPA_mono	-2.60168781512984	100
5	DNMT3A	16.3305707223936	100
6	EZH2	19.9707717332496	100
7	FLT3_TKD	-7.85809328660583	100
8	FLT3_other	3.26661000074393	100
9	GATA2	-13.4645202833041	100
10	IDH1	-1.24300515703096	100
11	IDH2_p.R140	13.6619288870036	100
12	IDH2_p.R172	-16.9986678635041	100
13	ITD	9.83690982183978	100
14	KIT	-1.46451684020373	100
15	KRAS	10.2427846451679	100
16	MLL	5.05799739866192	100
17	MYC	-15.1345359937162	100
18	NF1	0.482695395542654	100
19	NRAS_p.G12_13	1.46841169292224	100
20	NRAS_p.Q61_62	24.975981131036	100
21	PHF6	4.01285265704482	100
22	PTPN11	-7.98619174313855	100
23	RAD21	-11.0063445016159	100
24	RUNX1	-4.45604650388552	100
25	SF3B1	24.2559480407503	100
26	SMC1A	9.34947251683768	100
27	SMC3	8.66478481960483	100
28	SRSF2	14.8650833729018	100
29	STAG2	-1.137681415928	100
30	TET2	24.2151238603209	100
31	TP53	75.0977117540017	100
32	U2AF1_p.S34	18.6211955742142	100
33	WT1	24.12794894192	100
34	ahd	-41.0703615167446	100
35	bm_blasts	0.0885707096177216	100
36	eln_2017_adverse	29.2186277994302	100
37	eln_2017_favorable	-21.1663565241242	100
38	eln_2017_intermediate	7.3907675446345	100
39	full_component_CEBPA_bi	-3.38043307795898	100
40	full_component_CEBPA_bi_ITD	15.8281220366266	100
41	full_component_DNMT3A_IDH1_2	-0.822171328966777	100
42	full_component_DNMT3A_IDH1_2_ITD	25.1757989315912	100
43	full_component_NPM1	-1.04563258703379	100
44	full_component_NPM1_ITD	-5.03549989674857	100
45	full_component_TP53_complex	33.870535282729	100
46	full_component_WT1	8.34162110330272	100
47	full_component_WT1_ITD	20.4274533368294	100
48	full_component_additions	22.4134217189724	100
49	full_component_chr_splicing_1	2.54078329186002	100
50	full_component_chr_splicing_multiple	21.0380393710327	100
51	full_component_inv_16	-55.672269354722	100
52	full_component_inv_3	42.8375435802676	100
53	full_component_no_events	-9.59588402776844	100
54	full_component_not_assigned	-1.54585895919366	100
55	full_component_not_assigned_ITD	14.9059467308805	100
56	full_component_t_11	4.80346067320296	100
57	full_component_t_15_17	-37.8226375835868	100
58	full_component_t_6_9	-2.26164447937828	100
59	full_component_t_6_9_ITD	17.3163336195617	100
60	full_component_t_8_21	-40.1338759306021	100
61	full_component_t_8_21_ITD	11.7384139839066	100
62	hb	-0.0404165525904317	100
63	overlap	-8.48273087732419	100
64	perf_status	27.6236262655993	100
65	plt	-0.0491626818732373	100
66	secondary	12.2496566887099	100
67	wbc	0.201022595129644	100
