feature	coef	n
1	ASXL1	16.8696076211441	100
2	BCOR	4.6638216184314	100
3	CBL	7.35062828259394	100
4	CEBPA_mono	-6.51877445922768	100
5	DNMT3A	12.7021322257041	100
6	EZH2	15.177470606505	100
7	FLT3_TKD	-3.27118291624189	100
8	FLT3_other	6.4769666614864	100
9	GATA2	-14.6227720838575	100
10	IDH1	-2.14359718654961	100
11	IDH2_p.R140	0.470247646761861	100
12	IDH2_p.R172	-27.1022723962329	100
13	ITD	25.5667030279079	100
14	KIT	9.70309256110652	100
15	KRAS	19.4024904817197	100
16	MLL	12.194224498394	100
17	MYC	-2.2791073479316	100
18	NF1	19.2450364764506	100
19	NRAS_p.G12_13	16.594318083762	100
20	NRAS_p.Q61_62	33.1647010281051	100
21	PHF6	1.65339482440353	100
22	PTPN11	-7.35000307735196	100
23	RAD21	-6.67916480047029	100
24	RUNX1	-9.02693068867955	100
25	SF3B1	8.28364952652506	100
26	SMC1A	4.84010529777141	100
27	SMC3	4.59244012655601	100
28	SRSF2	3.2330344924121	100
29	STAG2	-7.51879856295324	100
30	TET2	8.57675942805223	100
31	TP53	65.4097104453945	100
32	U2AF1_p.S34	7.38663790850671	100
33	WT1	32.0546836178831	100
34	age	3.78098439090952	100
35	eln_2017_adverse	27.6705168142776	100
36	eln_2017_favorable	-20.6097000423217	100
37	eln_2017_intermediate	11.6913147534484	100
38	full_component_CEBPA_bi	8.05586454797637	100
39	full_component_CEBPA_bi_ITD	16.177351881344	100
40	full_component_DNMT3A_IDH1_2	-2.48048831513933	100
41	full_component_DNMT3A_IDH1_2_ITD	18.4321023677113	100
42	full_component_NPM1	-4.71617364425362	100
43	full_component_NPM1_ITD	-1.60189238343642	100
44	full_component_TP53_complex	28.6823098779447	100
45	full_component_WT1	15.2512852597305	100
46	full_component_WT1_ITD	26.7502761541608	100
47	full_component_additions	22.7360415790227	100
48	full_component_chr_splicing_1	-9.61621792340121	100
49	full_component_chr_splicing_multiple	9.55378018666575	100
50	full_component_inv_16	-36.5822930942408	100
51	full_component_inv_3	45.1388978003942	100
52	full_component_no_events	-31.9992889551278	100
53	full_component_not_assigned	-7.80994658192863	100
54	full_component_not_assigned_ITD	26.7610040727584	100
55	full_component_t_11	21.2154933926689	100
56	full_component_t_15_17	-38.6861921278575	100
57	full_component_t_6_9	5.05690395431305	100
58	full_component_t_6_9_ITD	21.1435355113753	100
59	full_component_t_8_21	-31.1404258305635	100
60	full_component_t_8_21_ITD	11.670159597515	100
61	gender	7.03981722931017	100
62	overlap	-3.12022191632074	100
