feature	coef	n
1	ASXL1	33.660505910547	100
2	BCOR	11.5945320600191	79
3	CBL	5.08199275943354	61
4	CEBPA_bi	-26.2292347172824	86
5	CEBPA_mono	-0.099839525437109	69
6	DNMT3A	17.4267382300238	99
7	EZH2	31.8456793724992	97
8	FLT3_TKD	-8.42152100743889	81
9	FLT3_other	3.25693508977976	61
10	GATA2	-4.83841223839768	61
11	IDH1	-2.33207700445911	65
12	IDH2_p.R140	6.67856636038886	67
13	IDH2_p.R172	-29.3651322894532	92
14	ITD	27.0849355480507	100
15	KIT	-31.9225996377889	96
16	KRAS	18.9633140475048	92
17	MLL	25.9127229075726	98
18	MYC	-17.1391595936799	72
19	NF1	5.47369485756899	65
20	NPM1	-22.2850833022775	99
21	NRAS_p.G12_13	3.27424951097197	60
22	NRAS_p.Q61_62	11.5054871214255	69
23	PHF6	4.32181708937249	60
24	PTPN11	-5.29776944787466	66
25	RAD21	-20.3439206565934	88
26	RUNX1	17.3044845929957	95
27	SF3B1	47.4981666434938	100
28	SMC1A	10.3569961325138	68
29	SMC3	-2.26231409116921	56
30	SRSF2	34.7834898508345	100
31	STAG2	5.48343948686408	64
32	TET2	30.2554077551465	100
33	TP53	146.667693404767	100
34	U2AF1_p.S34	36.1896409114753	98
35	WT1	23.8040882667374	96
