feature	coef	n
1	ASXL1	29.8489820946749	100
2	BCOR	11.9908971072508	100
3	CBL	4.3799442779448	100
4	CEBPA_bi	-14.1031475616599	100
5	CEBPA_mono	-5.17173934251222	100
6	DNMT3A	17.2992542982234	100
7	EZH2	25.1000032767518	100
8	FLT3_TKD	-10.1595188305475	100
9	FLT3_other	5.95600244879747	100
10	GATA2	-14.9999092585031	100
11	IDH1	-1.95347381232679	100
12	IDH2_p.R140	-0.519285252246109	100
13	IDH2_p.R172	-42.8128427728997	100
14	ITD	33.7981944364189	100
15	KIT	-19.9336937860219	100
16	KRAS	24.4716016183684	100
17	MLL	24.4642132290291	100
18	MYC	-9.83589241628915	100
19	NF1	20.5221348444262	100
20	NPM1	-30.7497779309879	100
21	NRAS_p.G12_13	15.1332633012751	100
22	NRAS_p.Q61_62	24.4437867070971	100
23	PHF6	7.49366202601894	100
24	PTPN11	-6.13619121581011	100
25	RAD21	-13.9431556645087	100
26	RUNX1	7.63150647559429	100
27	SF3B1	26.0955344091745	100
28	SMC1A	4.5280059515262	100
29	SMC3	-4.20971362438915	100
30	SRSF2	14.5991596583169	100
31	STAG2	-3.56548905638291	100
32	TET2	12.9463620280057	100
33	TP53	125.652153951175	100
34	U2AF1_p.S34	18.3568851456478	100
35	WT1	41.3557189713325	100
36	age	3.40919422438528	100
37	gender	6.62016269401718	100
