feature	coef	n
1	full_component_CEBPA_bi	-0.348190363828741	67
2	full_component_DNMT3A_IDH1_2	-0.0079157383160879	8
3	full_component_NPM1	-2.5435600296951	94
4	full_component_TP53_complex	8.3979274718187	100
5	full_component_WT1	0.461163134244561	76
6	full_component_additions	1.30227353220417	92
7	full_component_chr_splicing_1	0.0959227188810569	24
8	full_component_chr_splicing_multiple	7.9116117177319	100
9	full_component_inv_16	-3.33683596596828	100
10	full_component_inv_3	0.447380070463221	94
11	full_component_no_events	-0.392053837497646	81
12	full_component_not_assigned	-0.0366273119882311	12
13	full_component_t_11	-0.0076694864119507	11
14	full_component_t_15_17	-0.753442047148855	99
15	full_component_t_6_9	0.0201771202418781	19
16	full_component_t_8_21	-3.12588761187653	100
17	overlap	0.228686333522145	24
