feature	coef	n
1	full_component_CEBPA_bi	-73.3937178850676	100
2	full_component_DNMT3A_IDH1_2	-32.4138492761007	100
3	full_component_NPM1	-53.729047705156	100
4	full_component_TP53_complex	62.5616612854459	100
5	full_component_WT1	3.62234529756521	100
6	full_component_additions	-6.13181185815018	100
7	full_component_chr_splicing_1	-23.7996146926637	100
8	full_component_chr_splicing_multiple	21.9823954094716	100
9	full_component_inv_16	-143.055644759077	100
10	full_component_inv_3	40.3136543270054	100
11	full_component_no_events	-78.0195703223563	100
12	full_component_not_assigned	-43.5701652767112	100
13	full_component_t_11	-33.3818012551225	100
14	full_component_t_15_17	-147.773784940946	100
15	full_component_t_6_9	-15.177382752127	100
16	full_component_t_8_21	-132.294539485144	100
17	overlap	21.5307736652517	100
