feature	coef	n
1	age	703.08969073501	100
2	ahd	-2.22755096990647	100
3	bm_blasts	0.605794643986111	3
4	full_component_CEBPA_bi	-0.0190964580596216	8
5	full_component_NPM1	-3.93932470765775	99
6	full_component_TP53_complex	6.63428390872678	100
7	full_component_WT1	0.613265597781501	84
8	full_component_additions	0.629712183883307	65
9	full_component_chr_splicing_1	-0.00184708065207073	1
10	full_component_chr_splicing_multiple	3.22172849375164	98
11	full_component_inv_16	-1.91861860483297	100
12	full_component_inv_3	0.337082218414931	72
13	full_component_no_events	-0.417800495399267	87
14	full_component_t_11	0.0991824468004057	23
15	full_component_t_15_17	-0.328132350993286	81
16	full_component_t_6_9	0.0446735600818346	24
17	full_component_t_8_21	-1.47538260319645	96
18	gender	0.0587813526010159	11
19	hb	-1.98816140008972	5
20	overlap	0.459799219881695	39
21	perf_status	9.50144714230335	100
22	plt	-29.5514594016391	16
23	secondary	0.263628331090928	26
24	wbc	391.424864583735	94
