feature	coef	n
1	add_11	25.5008027904688	96
2	add_13	-2.35156648996798	67
3	add_21	-1.61022209224999	68
4	add_22	-26.1428975557996	87
5	add_8	-8.0170534386643	59
6	complex	-2.33715332868863	18
7	del_12	7.06855225153568	70
8	del_16	12.860722604003	72
9	del_17	34.6379848541509	99
10	del_18	-20.595634428718	75
11	del_20	8.19502939556344	73
12	del_3	-1.41870531958548	58
13	del_5	43.9789703948026	100
14	del_7	19.1476119062413	95
15	del_9	4.8812110220405	60
16	full_component_CEBPA_bi	-36.5058119163212	93
17	full_component_DNMT3A_IDH1_2	-7.84121344147936	60
18	full_component_NPM1	-18.0528827075265	93
19	full_component_TP53_complex	54.296614298796	100
20	full_component_WT1	28.3752871890441	95
21	full_component_additions	21.8296678185641	98
22	full_component_chr_splicing_1	1.42756601420527	59
23	full_component_chr_splicing_multiple	49.3088809954601	100
24	full_component_inv_16	-99.7194460976639	100
25	full_component_inv_3	55.9732359290594	98
26	full_component_no_events	-38.4052804212108	95
27	full_component_not_assigned	-11.3324517656695	69
28	full_component_t_11	-0.278969830868855	64
29	full_component_t_15_17	-134.58968934956	100
30	full_component_t_6_9	13.4188037734848	69
31	full_component_t_8_21	-99.2585706935619	100
32	minusy	10.3979164586838	59
33	others_transloc	12.6400674434216	75
34	overlap	3.94554745239915	48
