feature	coef	n
1	add_11	29.5962438157644	100
2	add_13	-5.68786627053764	100
3	add_21	-2.61182653134662	100
4	add_22	-32.6642891676077	100
5	add_8	-11.6410452274475	100
6	complex	3.34673861594307	100
7	del_12	8.63696258046549	100
8	del_16	15.200600193482	100
9	del_17	37.8226741066054	100
10	del_18	-26.0348717241767	100
11	del_20	11.0113192561196	100
12	del_3	-4.2823838815293	100
13	del_5	43.6801787303768	100
14	del_7	20.6492689192295	100
15	del_9	3.5493299030348	100
16	full_component_CEBPA_bi	-42.2160097816544	100
17	full_component_DNMT3A_IDH1_2	-11.5987116128332	100
18	full_component_NPM1	-20.0085580282518	100
19	full_component_TP53_complex	44.8180457260346	100
20	full_component_WT1	30.2897762619084	100
21	full_component_additions	24.4578791939842	100
22	full_component_chr_splicing_1	0.80240195000874	100
23	full_component_chr_splicing_multiple	45.4285860872028	100
24	full_component_inv_16	-92.7013868320523	100
25	full_component_inv_3	58.6360916000857	100
26	full_component_no_events	-43.8513267483614	100
27	full_component_not_assigned	-15.4075961239605	100
28	full_component_t_11	-0.815998151810897	100
29	full_component_t_15_17	-128.989128804936	100
30	full_component_t_6_9	17.0576633730901	100
31	full_component_t_8_21	-93.208572211131	100
32	minusy	10.8938993098081	100
33	others_transloc	15.5155829303782	100
34	overlap	7.54427012252896	100
