feature	coef	n
1	age	3.36394389087057	100
2	full_component_CEBPA_bi	-31.9816692315389	100
3	full_component_DNMT3A_IDH1_2	-7.71393888591528	100
4	full_component_NPM1	-35.3253052143389	100
5	full_component_TP53_complex	67.4293674374201	100
6	full_component_WT1	49.3837090161014	100
7	full_component_additions	14.745828809115	100
8	full_component_chr_splicing_1	-14.7600578330074	100
9	full_component_chr_splicing_multiple	15.0849475784369	100
10	full_component_inv_16	-92.5855500598785	100
11	full_component_inv_3	82.6846257610234	100
12	full_component_no_events	-74.6181972867408	100
13	full_component_not_assigned	-14.4155160836732	100
14	full_component_t_11	12.3426075382067	100
15	full_component_t_15_17	-147.990366317694	100
16	full_component_t_6_9	46.6147076181396	100
17	full_component_t_8_21	-85.6987427608625	100
18	gender	5.61054197161215	100
19	overlap	2.70833827685074	100
