feature	coef	n
1	ASXL1	22.6360861692637	95
2	BCOR	2.28786016307639	52
3	CBL	6.85613077402925	58
4	CEBPA_mono	-2.55045337969476	56
5	DNMT3A	10.5237355243012	86
6	EZH2	20.00792952572	86
7	FLT3_TKD	-0.964477001789326	54
8	FLT3_other	6.42717831379388	61
9	GATA2	-13.3262374614697	86
10	IDH1	-5.1137255737687	67
11	IDH2_p.R140	4.30801594083202	56
12	IDH2_p.R172	-28.0391626014733	87
13	ITD	24.2893096608044	100
14	KIT	-2.55984540472516	44
15	KRAS	18.3388401275637	86
16	MLL	10.1126246950064	71
17	MYC	-23.1065939276293	75
18	NF1	0.406413679004473	47
19	NRAS_p.G12_13	3.64566427245638	61
20	NRAS_p.Q61_62	27.3370262664789	88
21	PHF6	-1.11814012021392	57
22	PTPN11	-11.1033520210735	86
23	RAD21	-15.9916172447937	84
24	RUNX1	2.14713762097382	48
25	SF3B1	21.4326679067406	89
26	SMC1A	11.5580864144282	70
27	SMC3	-0.0107514677141627	47
28	SRSF2	17.5948817789064	98
29	STAG2	-1.11721572313334	54
30	TET2	23.2410657655609	100
31	TP53	76.6544707762462	100
32	U2AF1_p.S34	19.3307772919715	89
33	WT1	14.8605923763622	74
34	add_11	17.9798167997761	88
35	add_13	7.57454514659243	62
36	add_21	2.01934559966482	54
37	add_22	-31.2616575068378	89
38	add_8	-3.54795007903852	52
39	complex	10.8731742135372	68
40	del_12	8.97611949514451	65
41	del_16	9.46399403058398	61
42	del_17	18.0019563219811	84
43	del_18	-22.7324313921823	80
44	del_20	9.53001501318073	69
45	del_3	-7.71008537338791	65
46	del_5	29.099074089059	96
47	del_7	13.3099835906435	83
48	del_9	8.33400191773608	64
49	full_component_CEBPA_bi	-27.6264054010467	84
50	full_component_DNMT3A_IDH1_2	-0.0302270004951462	34
51	full_component_NPM1	-25.1468380619292	98
52	full_component_TP53_complex	18.4118505300731	83
53	full_component_WT1	16.6398594101608	68
54	full_component_additions	18.5900063886311	92
55	full_component_chr_splicing_1	-1.30794306788018	35
56	full_component_chr_splicing_multiple	26.9303848088967	97
57	full_component_inv_16	-91.8407856832977	100
58	full_component_inv_3	69.0365450703414	99
59	full_component_no_events	-22.7027988946848	89
60	full_component_not_assigned	-4.72361509841193	51
61	full_component_t_11	1.52098090619582	63
62	full_component_t_15_17	-120.790890028487	100
63	full_component_t_6_9	8.73481810923109	63
64	full_component_t_8_21	-88.8513676989637	100
65	minusy	8.17575432876123	58
66	others_transloc	14.9064327669386	74
67	overlap	-0.126441745226522	35
