feature	coef	n
1	ASXL1	22.5148136174605	95
2	BCOR	2.28322095311986	50
3	CBL	6.79365668606251	58
4	CEBPA_mono	-2.56454917974298	55
5	DNMT3A	10.4880395586692	86
6	EZH2	19.9208287932442	84
7	FLT3_TKD	-0.803340705575392	55
8	FLT3_other	6.49624912076081	60
9	GATA2	-13.1822829746435	86
10	IDH1	-5.00697153553377	67
11	IDH2_p.R140	4.29699604107013	56
12	IDH2_p.R172	-28.0578789239735	87
13	ITD	24.3986273045162	100
14	KIT	-2.27365667276931	43
15	KRAS	18.331055978797	86
16	MLL	9.91991630823646	70
17	MYC	-22.9830829708508	75
18	NF1	0.448863342972246	45
19	NRAS_p.G12_13	3.61481444838536	59
20	NRAS_p.Q61_62	27.4180605854746	88
21	PHF6	-1.21926992754257	57
22	PTPN11	-10.9950154735525	85
23	RAD21	-15.9427235588257	84
24	RUNX1	2.07676878974845	46
25	SF3B1	21.1389592838279	89
26	SMC1A	11.5148435880247	69
27	SMC3	-0.0137352333149376	45
28	SRSF2	17.433221577317	98
29	STAG2	-1.14085108645109	54
30	TET2	23.2850343758105	100
31	TP53	77.8740455986252	100
32	U2AF1_p.S34	19.113366315758	89
33	WT1	14.7826384900902	74
34	add_11	17.8111520006882	88
35	add_13	7.74676412883828	59
36	add_21	2.07664410895561	54
37	add_22	-31.1255958459094	88
38	add_8	-3.38799577421981	51
39	complex	10.9392815186933	64
40	del_12	8.90217384760042	63
41	del_16	9.32499428340948	59
42	del_17	17.6366319322513	84
43	del_18	-22.6765171381358	79
44	del_20	9.39204884032997	66
45	del_3	-7.69393115124057	65
46	del_5	28.7112964810976	96
47	del_7	13.2056016687149	83
48	del_9	8.25589458462425	64
49	full_component_CEBPA_bi	-27.8463744208434	84
50	full_component_DNMT3A_IDH1_2	-0.173415033604709	33
51	full_component_NPM1	-25.6338321006974	98
52	full_component_TP53_complex	17.6941980520968	75
53	full_component_WT1	16.3669039082498	68
54	full_component_additions	18.2394023959333	91
55	full_component_chr_splicing_1	-1.49916871182865	34
56	full_component_chr_splicing_multiple	26.9193056655284	97
57	full_component_inv_16	-93.0582834366832	100
58	full_component_inv_3	68.8881480314889	99
59	full_component_no_events	-22.9082256282349	89
60	full_component_not_assigned	-4.93768810580702	50
61	full_component_t_11	1.23991427324128	61
62	full_component_t_15_17	-122.214607136065	100
63	full_component_t_6_9	8.43410204998321	63
64	full_component_t_8_21	-90.0225710935711	100
65	minusy	8.2014293308824	57
66	others_transloc	14.7767401380184	73
67	overlap	-0.104225193653318	32
