feature	coef	n
1	ASXL1	13.2101383719901	85
2	BCOR	8.2722624562797	70
3	CBL	4.32604231708482	49
4	CEBPA_mono	-4.64444113106664	47
5	DNMT3A	8.0297527791394	83
6	EZH2	7.19500247458537	58
7	FLT3_TKD	-4.77319040102036	67
8	FLT3_other	2.93822932803985	46
9	GATA2	-18.0495749891512	90
10	IDH1	-2.73270473517691	45
11	IDH2_p.R140	0.640998072727685	40
12	IDH2_p.R172	-27.9799375417274	88
13	ITD	15.7731776984302	97
14	KIT	2.62490192420497	32
15	KRAS	9.24310731998512	75
16	MLL	8.52616955036846	73
17	MYC	-7.35770195915984	46
18	NF1	5.02728287737771	43
19	NRAS_p.G12_13	4.75557591681146	62
20	NRAS_p.Q61_62	24.9537670054356	89
21	PHF6	2.08809255580675	40
22	PTPN11	-6.21054471291485	64
23	RAD21	-1.24932802227722	43
24	RUNX1	0.577342016439763	41
25	SF3B1	3.18020780252293	41
26	SMC1A	2.0499585824765	51
27	SMC3	1.78296559737453	36
28	SRSF2	0.229945274446191	25
29	STAG2	-1.39172700523762	45
30	TET2	3.43274342950717	52
31	TP53	59.0737004983402	100
32	U2AF1_p.S34	6.47430987056535	61
33	WT1	25.1411449733405	91
34	add_11	17.6822858366219	84
35	add_13	7.00009018261738	52
36	add_21	-0.174475618214875	41
37	add_22	-18.2325328653989	78
38	add_8	-4.11195504939772	41
39	age	3.29616741321332	100
40	ahd	-33.9245674244271	100
41	bm_blasts	0.0972553425924995	67
42	complex	6.82028345295976	45
43	del_12	10.3822451949632	68
44	del_16	2.8206661373999	40
45	del_17	18.0374342364669	86
46	del_18	-11.7120719776115	54
47	del_20	2.41398382721273	49
48	del_3	-4.2888494929373	45
49	del_5	17.0784958000065	82
50	del_7	15.2783263421621	90
51	del_9	7.37260937426963	50
52	full_component_CEBPA_bi	-9.8149051755738	53
53	full_component_DNMT3A_IDH1_2	1.01010206076512	32
54	full_component_NPM1	-35.7813872787657	99
55	full_component_TP53_complex	15.6460419072054	77
56	full_component_WT1	19.8104546842039	74
57	full_component_additions	14.0137134286132	77
58	full_component_chr_splicing_1	-2.42898409415917	32
59	full_component_chr_splicing_multiple	13.583197723378	90
60	full_component_inv_16	-79.8021014617051	100
61	full_component_inv_3	74.3786597477114	96
62	full_component_no_events	-38.7676383842312	99
63	full_component_not_assigned	0.424336929662951	33
64	full_component_t_11	10.2494954133343	66
65	full_component_t_15_17	-94.5984550449488	98
66	full_component_t_6_9	37.0544584206974	82
67	full_component_t_8_21	-64.2273834290716	100
68	gender	2.50080795481117	53
69	hb	-0.0010079798391505	45
70	minusy	-2.38290338191767	40
71	others_transloc	12.6121292585643	64
72	overlap	3.60762812098239	46
73	perf_status	21.3307347042873	100
74	plt	-0.0215450557032546	69
75	secondary	1.93730685877522	50
76	wbc	0.180636746117302	98
