feature	coef	n
1	ASXL1	16.8499834865393	100
2	BCOR	11.8065127922759	100
3	CBL	7.90883958570041	100
4	CEBPA_bi	-1.98436065917641	100
5	CEBPA_mono	-4.88871004392748	100
6	DNMT3A	12.9775335168009	100
7	EZH2	9.97247841361214	100
8	FLT3_TKD	-7.54436253324401	100
9	FLT3_other	5.21864430973202	100
10	GATA2	-16.659820358455	100
11	IDH1	-0.928276570980879	100
12	IDH2_p.R140	4.05138899384207	100
13	IDH2_p.R172	-18.8605994047782	100
14	ITD	21.166127805007	100
15	KIT	5.8328788179644	100
16	KRAS	14.9697222950283	100
17	MLL	11.1010565401028	100
18	MYC	-3.00440019082223	100
19	NF1	11.4261981115297	100
20	NRAS_p.G12_13	11.467527064824	100
21	NRAS_p.Q61_62	26.2782304989078	100
22	PHF6	4.6075699273175	100
23	PTPN11	-5.25222008476685	100
24	RAD21	1.21035287265138	100
25	RUNX1	-1.68853235274333	100
26	SF3B1	10.4078284919819	100
27	SMC1A	4.57435697314082	100
28	SMC3	6.11430234986187	100
29	SRSF2	-0.540098201000198	100
30	STAG2	-2.04539810701059	100
31	TET2	6.44457373491788	100
32	TP53	43.9423661470922	100
33	U2AF1_p.S34	9.21337470381143	100
34	WT1	29.1699973323672	100
35	add_11	18.0973889744023	100
36	add_13	5.04896284169789	100
37	add_21	-3.45075459620195	100
38	add_22	-17.1393705011868	100
39	add_8	-11.9384057500974	100
40	age	3.55585479133926	100
41	ahd	-30.1627918280305	100
42	bm_blasts	0.204930405482959	100
43	complex	13.0765021722462	100
44	del_12	12.5171119762278	100
45	del_16	3.72927976557628	100
46	del_17	19.4084734208856	100
47	del_18	-9.93351242591025	100
48	del_20	2.65198536711422	100
49	del_3	-3.80624995020549	100
50	del_5	23.9436516110232	100
51	del_7	21.4999066883219	100
52	del_9	9.42605927125433	100
53	full_component_CEBPA_bi	-1.98436065917641	100
54	full_component_DNMT3A_IDH1_2	4.23191900839957	100
55	full_component_NPM1	-31.2893555443041	100
56	full_component_TP53_complex	25.0746421402043	100
57	full_component_WT1	24.2034706829555	100
58	full_component_additions	25.5738693622798	100
59	full_component_chr_splicing_1	2.84930009235324	100
60	full_component_chr_splicing_multiple	21.6054445412089	100
61	full_component_inv_16	-30.1702877255709	100
62	full_component_inv_3	38.2542588232407	100
63	full_component_no_events	-18.1740542484859	100
64	full_component_not_assigned	11.1381296413639	100
65	full_component_t_11	11.3502021477084	100
66	full_component_t_15_17	-25.9233425380248	100
67	full_component_t_6_9	23.711744799028	100
68	full_component_t_8_21	-24.2536503791081	100
69	gender	5.01507410858128	100
70	hb	0.00927045357684871	100
71	inv_16	-30.1702877255709	100
72	minusy	-1.24385472753953	100
73	others_transloc	15.216460046569	100
74	overlap	1.26603783253805	100
75	perf_status	22.8392771465042	100
76	plt	-0.0302392605892841	100
77	secondary	6.19018760225536	100
78	t_8_21	-24.2536503791081	100
79	t_v_11	19.4751049056779	100
80	wbc	0.20502452762539	100
