feature	coef	n
1	add_11	0.861393307919066	94
2	add_13	0.22776672971505	58
3	add_21	0.121562793611602	38
4	add_22	-0.290800769296074	61
5	add_8	0.367840944025052	51
6	complex	3.61606568770767	100
7	del_12	0.149648102278992	42
8	del_16	0.112939629372326	37
9	del_17	0.9636814983801	95
10	del_18	-0.11671322362607	36
11	del_20	0.22020259798343	54
12	del_3	0.0169911566893996	20
13	del_5	2.78010859294301	100
14	del_7	2.55790479000378	99
15	del_9	0.0218592769505652	30
16	inv_16	-3.82985545666875	100
17	minusy	0.126301712276289	32
18	others_transloc	0.121837082146988	40
19	t_8_21	-3.82126949025394	100
20	t_v_11	0.0245416897781318	29
