feature	coef	n
1	add_11	29.7509897306261	97
2	add_13	13.2251747530686	65
3	add_21	3.13834556957483	53
4	add_22	-14.2716285234694	67
5	add_8	6.51429592395101	64
6	age	3.591441788055	100
7	complex	33.5817949272473	99
8	del_12	8.81560038449485	61
9	del_16	5.96818778061563	54
10	del_17	23.6162880162389	91
11	del_18	-10.2872207169842	54
12	del_20	7.85128296744956	70
13	del_3	-3.85496873965414	48
14	del_5	38.4871493121271	99
15	del_7	31.454391802787	99
16	del_9	8.94215832310899	57
17	gender	9.38802524109888	93
18	inv_16	-68.1324327573695	100
19	minusy	0.703421444556353	49
20	others_transloc	18.5910577038606	75
21	t_8_21	-66.7206077314435	100
22	t_v_11	33.9209197799048	89
