feature	coef	n
1	ahd	-3.2597015614197	100
2	eln_2017_adverse	8.38414481545004	100
3	eln_2017_favorable	-4.23705281362982	95
4	full_component_CEBPA_bi	-0.0170760611783771	5
5	full_component_DNMT3A_IDH1_2	-0.00866671000143869	6
6	full_component_TP53_complex	4.94265607728642	100
7	full_component_WT1	0.301392043098657	62
8	full_component_additions	0.678090121968424	68
9	full_component_chr_splicing_1	-0.0293156342919372	5
10	full_component_chr_splicing_multiple	2.64591441868785	98
11	full_component_inv_16	-2.53682599290805	100
12	full_component_inv_3	0.179872337533201	63
13	full_component_no_events	-0.189342549611381	55
14	full_component_not_assigned	-0.0267871729285953	8
15	full_component_t_11	-0.00110181090759212	6
16	full_component_t_15_17	-0.583978753450983	96
17	full_component_t_6_9	-0.00267015820494849	5
18	full_component_t_8_21	-1.68686994090334	98
19	hb	-4.88052588038621	15
20	overlap	0.288533017134096	29
21	perf_status	13.4982024938791	100
22	plt	-85.1784766884537	43
23	secondary	1.92091094843303	90
24	wbc	394.263824607365	97
