feature	coef	n
1	ahd	-48.7616162258424	100
2	bm_blasts	0.050341482792543	74
3	eln_2017_adverse	14.1283867664722	87
4	eln_2017_favorable	-14.1185036405193	66
5	eln_2017_intermediate	-1.36156295572379	16
6	full_component_CEBPA_bi	-30.6448169004772	78
7	full_component_DNMT3A_IDH1_2	-1.27733101554674	64
8	full_component_NPM1	-23.2251030928147	72
9	full_component_TP53_complex	66.1102919058371	100
10	full_component_WT1	21.6805230940444	92
11	full_component_additions	7.34326629453774	81
12	full_component_chr_splicing_1	-5.7415631067037	51
13	full_component_chr_splicing_multiple	23.5141194591679	95
14	full_component_inv_16	-118.34215532747	100
15	full_component_inv_3	55.8650534273499	100
16	full_component_no_events	-42.2402655076991	97
17	full_component_not_assigned	-14.9257677173806	74
18	full_component_t_11	-11.393419520638	72
19	full_component_t_15_17	-156.322443475497	100
20	full_component_t_6_9	1.89066413435035	75
21	full_component_t_8_21	-89.2713441314518	100
22	hb	-0.058352357707368	72
23	overlap	4.1361452682088	54
24	perf_status	28.8266142854	100
25	plt	-0.0584995478881654	90
26	secondary	10.547786534222	96
27	wbc	0.176672730904571	100
