feature	coef	n
1	add_11	27.5064255556295	100
2	add_13	-4.97571018357029	100
3	add_21	-3.8410095197539	100
4	add_22	-31.5017069422057	100
5	add_8	-11.3780514575522	100
6	complex	5.61713658564889	100
7	del_12	8.52415438251179	100
8	del_16	13.4296582151185	100
9	del_17	37.3489925073825	100
10	del_18	-22.4159854207605	100
11	del_20	10.5651247897644	100
12	del_3	-1.94856600210524	100
13	del_5	39.5014499462856	100
14	del_7	17.5405540060034	100
15	del_9	2.46412775574876	100
16	eln_2017_adverse	17.0263083433424	100
17	eln_2017_favorable	-20.6358836404382	100
18	eln_2017_intermediate	5.18523663590851	100
19	full_component_CEBPA_bi	-21.5441905016347	100
20	full_component_DNMT3A_IDH1_2	-14.1239863454849	100
21	full_component_NPM1	-1.75885040868949	100
22	full_component_TP53_complex	31.46731881928	100
23	full_component_WT1	25.5044991562168	100
24	full_component_additions	21.1838802798903	100
25	full_component_chr_splicing_1	-7.12204841869502	100
26	full_component_chr_splicing_multiple	33.3881650013111	100
27	full_component_inv_16	-70.2951427519007	100
28	full_component_inv_3	48.4616619238517	100
29	full_component_no_events	-44.6788070589693	100
30	full_component_not_assigned	-19.9967349177928	100
31	full_component_t_11	-4.34681300365792	100
32	full_component_t_15_17	-119.767081263094	100
33	full_component_t_6_9	3.91371398868924	100
34	full_component_t_8_21	-68.8996096876369	100
35	minusy	10.6178182705391	100
36	others_transloc	13.8488884799351	100
37	overlap	9.19888548060775	100
