feature	coef	n
1	add_11	24.4193168582485	100
2	add_13	-6.03270299242243	100
3	add_21	-4.59118493712025	100
4	add_22	-26.7765298615847	100
5	add_8	-14.5743171537602	100
6	complex	1.46399756874786	100
7	del_12	7.84118548535079	100
8	del_16	11.5661573008416	100
9	del_17	33.5091026816491	100
10	del_18	-19.7296268464951	100
11	del_20	7.73507342332094	100
12	del_3	-2.06303639528544	100
13	del_5	42.1910929731902	100
14	del_7	19.4601384540879	100
15	del_9	3.82630180537214	100
16	eln_2017_adverse	19.2435242600074	100
17	eln_2017_favorable	-23.9447641575572	100
18	eln_2017_intermediate	6.54450856407384	100
19	full_component_CEBPA_bi	-11.4371933530633	100
20	full_component_DNMT3A_IDH1_2	-10.2462493506129	100
21	full_component_NPM1	7.95836689593632	100
22	full_component_TP53_complex	41.4754208294202	100
23	full_component_WT1	27.9069691748928	100
24	full_component_additions	27.9335751021703	100
25	full_component_chr_splicing_1	-2.05629142132432	100
26	full_component_chr_splicing_multiple	41.9151885710433	100
27	full_component_inv_16	-34.9789178348347	100
28	full_component_inv_3	35.355410764214	100
29	full_component_no_events	-33.8876456506447	100
30	full_component_not_assigned	-15.249889749555	100
31	full_component_t_11	1.34368291107017	100
32	full_component_t_15_17	-61.1378429397344	100
33	full_component_t_6_9	5.80308244643008	100
34	full_component_t_8_21	-34.5082567397476	100
35	inv_16	-34.9789178348347	100
36	minusy	12.6557261145734	100
37	others_transloc	11.9187194935935	100
38	overlap	4.21825637318243	100
39	t_8_21	-34.5082567397476	100
40	t_v_11	-1.00625853944447	100
