feature	coef	n
1	add_11	26.3986417172701	94
2	add_13	0.637166054549195	53
3	add_21	-1.61028138773131	57
4	add_22	-18.3317607601973	80
5	add_8	-5.23380200236398	47
6	ahd	-48.2236082863863	100
7	bm_blasts	0.0595165060781712	57
8	complex	0.306966618952177	17
9	del_12	8.9598441876024	64
10	del_16	5.26304498786441	54
11	del_17	43.3713886080144	100
12	del_18	-14.3623466334573	63
13	del_20	6.34878144109164	58
14	del_3	0.454846068671201	51
15	del_5	42.01959082672	100
16	del_7	17.2894074102802	91
17	del_9	1.92547743293459	58
18	eln_2017_adverse	12.0835231297255	84
19	eln_2017_favorable	-21.2167816502006	88
20	eln_2017_intermediate	0.394742802089187	5
21	full_component_CEBPA_bi	-12.6643967533388	59
22	full_component_DNMT3A_IDH1_2	-0.675983064891096	46
23	full_component_NPM1	-5.31162202661867	41
24	full_component_TP53_complex	35.25836835374	100
25	full_component_WT1	23.8147029438678	90
26	full_component_additions	13.4022919792625	85
27	full_component_chr_splicing_1	0.0945704111635434	28
28	full_component_chr_splicing_multiple	33.2333618769664	100
29	full_component_inv_16	-47.8958504489983	100
30	full_component_inv_3	45.3113232788583	92
31	full_component_no_events	-26.4223721676346	90
32	full_component_not_assigned	-6.63011056144159	56
33	full_component_t_11	-1.35916126657579	47
34	full_component_t_15_17	-109.69892492604	99
35	full_component_t_6_9	8.88519718920234	60
36	full_component_t_8_21	-36.2852551625886	100
37	hb	-0.0441867959351553	55
38	inv_16	-39.2236758179483	100
39	minusy	6.1591019586582	49
40	others_transloc	4.534409832797	56
41	overlap	5.51630731068806	59
42	perf_status	27.5607109984506	100
43	plt	-0.036704835866184	78
44	secondary	9.09102084670667	93
45	t_8_21	-29.5528914996116	100
46	t_v_11	0.255422061777249	44
47	wbc	0.194676680813637	99
