feature	coef	n
1	age	3.57385447396243	100
2	eln_2017_adverse	13.0617816926389	89
3	eln_2017_favorable	-29.4000420884576	94
4	eln_2017_intermediate	0.177742308898289	5
5	full_component_CEBPA_bi	-6.37807511840769	60
6	full_component_DNMT3A_IDH1_2	-11.4808725368848	68
7	full_component_NPM1	-12.3388450300507	50
8	full_component_TP53_complex	52.698783533767	99
9	full_component_WT1	43.3301820554089	99
10	full_component_additions	9.89867432049044	86
11	full_component_chr_splicing_1	-22.6201355039174	88
12	full_component_chr_splicing_multiple	1.61713452513322	54
13	full_component_inv_16	-70.2414297767321	100
14	full_component_inv_3	66.4981251683759	99
15	full_component_no_events	-76.2964614701447	100
16	full_component_not_assigned	-18.1472824315316	82
17	full_component_t_11	7.50706809889465	74
18	full_component_t_15_17	-152.85655609029	100
19	full_component_t_6_9	28.7163359302356	84
20	full_component_t_8_21	-59.6969174237872	97
21	gender	4.70747902294832	73
22	overlap	5.26139819106721	51
