feature	coef	n
1	ASXL1	18.4447231733186	100
2	BCOR	2.08091542740575	100
3	CBL	10.0742678478852	100
4	CEBPA_bi	1.23460747380398	100
5	CEBPA_mono	-2.23995569281222	100
6	DNMT3A	15.1416139097414	100
7	EZH2	25.6580424212052	100
8	FLT3_TKD	-2.69248650107673	100
9	FLT3_other	6.10176937142077	100
10	GATA2	-12.2150017582963	100
11	IDH1	-4.68007452557074	100
12	IDH2_p.R140	8.41643314652587	100
13	IDH2_p.R172	-26.9892977656084	100
14	ITD	25.6607612260498	100
15	KIT	-0.735010127423396	100
16	KRAS	20.2695216363199	100
17	MLL	6.30297908727374	100
18	MYC	-17.4069780316478	100
19	NF1	7.22555785279546	100
20	NRAS_p.G12_13	6.76356948946305	100
21	NRAS_p.Q61_62	30.1401859614121	100
22	PHF6	0.364467829594549	100
23	PTPN11	-11.2006852347276	100
24	RAD21	-17.5704812667309	100
25	RUNX1	-5.28791622636614	100
26	SF3B1	27.870671515413	100
27	SMC1A	15.3619261885037	100
28	SMC3	4.09434823888363	100
29	SRSF2	22.8113362057979	100
30	STAG2	-1.89944730974432	100
31	TET2	27.8065590054659	100
32	TP53	81.3715566562151	100
33	U2AF1_p.S34	21.598511151897	100
34	WT1	18.8764662170952	100
35	eln_2017_adverse	30.7084902695599	100
36	eln_2017_favorable	-19.6534589944136	100
37	eln_2017_intermediate	8.39240831628261	100
38	full_component_CEBPA_bi	1.23460747380398	100
39	full_component_DNMT3A_IDH1_2	8.08828123464223	100
40	full_component_NPM1	3.16135443819622	100
41	full_component_TP53_complex	39.1516911591872	100
42	full_component_WT1	23.9935574114953	100
43	full_component_additions	30.6786495187664	100
44	full_component_chr_splicing_1	0.434894962906697	100
45	full_component_chr_splicing_multiple	24.7811258056257	100
46	full_component_inv_16	-51.2711049721161	100
47	full_component_inv_3	49.4172973904689	100
48	full_component_no_events	-12.5814713701306	100
49	full_component_not_assigned	0.767194736192455	100
50	full_component_t_11	10.4432956690362	100
51	full_component_t_15_17	-46.6818249398761	100
52	full_component_t_6_9	5.27487473491913	100
53	full_component_t_8_21	-40.6723707311931	100
54	overlap	-16.3670360611221	100
