feature	coef	n
1	ASXL1	9.54900009694125	78
2	BCOR	8.62051552659252	73
3	CBL	6.83091168309195	69
4	CEBPA_mono	-3.60282259985604	59
5	DNMT3A	11.4065853946277	94
6	EZH2	16.6845502019745	83
7	FLT3_TKD	-4.81515110802226	69
8	FLT3_other	4.41779601962541	67
9	GATA2	-17.3303194008255	87
10	IDH1	-4.27615205992104	65
11	IDH2_p.R140	7.59498839163808	69
12	IDH2_p.R172	-27.1168320199165	89
13	ITD	8.49044823602664	81
14	KIT	-1.1371657138107	39
15	KRAS	7.72248566903556	67
16	MLL	5.52054302608812	64
17	MYC	-24.9605897853357	78
18	NF1	-0.806394829238322	55
19	NRAS_p.G12_13	0.694010595795375	56
20	NRAS_p.Q61_62	25.6342832593157	94
21	PHF6	1.18989232721956	52
22	PTPN11	-9.54739356137469	80
23	RAD21	-11.702368276083	74
24	RUNX1	0.344396212779151	45
25	SF3B1	16.9171678109194	80
26	SMC1A	8.80895074710526	66
27	SMC3	3.84118894177614	50
28	SRSF2	11.5805534390844	93
29	STAG2	0.0279013291558345	58
30	TET2	20.1529762763709	100
31	TP53	87.1321858463308	100
32	U2AF1_p.S34	17.1430270284995	91
33	WT1	18.297215073692	82
34	ahd	-45.324975471021	100
35	bm_blasts	0.0659319877226922	64
36	eln_2017_adverse	15.8865869993659	93
37	eln_2017_favorable	-16.4372003562939	71
38	eln_2017_intermediate	0.133021821064561	3
39	full_component_CEBPA_bi	-13.2718584486201	65
40	full_component_DNMT3A_IDH1_2	3.63663806473348	47
41	full_component_NPM1	-18.6276206280604	70
42	full_component_TP53_complex	21.0807348106961	90
43	full_component_WT1	11.3111537607388	59
44	full_component_additions	11.62679402319	82
45	full_component_chr_splicing_1	-3.12724821180257	39
46	full_component_chr_splicing_multiple	14.3409962970574	91
47	full_component_inv_16	-96.2486403214954	100
48	full_component_inv_3	67.4473295050912	98
49	full_component_no_events	-23.797758982802	88
50	full_component_not_assigned	-4.45163451429077	52
51	full_component_t_11	-4.5165009607517	57
52	full_component_t_15_17	-116.753012881041	100
53	full_component_t_6_9	6.7639899580882	60
54	full_component_t_8_21	-69.5924849490977	100
55	hb	-0.0283083695103465	56
56	overlap	-1.36728652039865	34
57	perf_status	26.3976654694373	100
58	plt	-0.042465166554549	82
59	secondary	8.27698771775983	91
60	wbc	0.18122594714288	100
