feature	coef	n
1	ASXL1	19.8876977864433	88
2	BCOR	1.87764169962074	48
3	CBL	6.84846585023903	56
4	CEBPA_bi	-4.16821132019361	64
5	CEBPA_mono	-2.43645890821555	56
6	DNMT3A	10.2607056610394	88
7	EZH2	20.2012870169916	83
8	FLT3_TKD	-0.508528488446482	53
9	FLT3_other	5.74427642383706	59
10	GATA2	-11.2257716785688	82
11	IDH1	-4.87522920622236	67
12	IDH2_p.R140	4.84776279870879	58
13	IDH2_p.R172	-28.2748583990618	88
14	ITD	22.322823910726	100
15	KIT	-1.72135997929542	37
16	KRAS	17.2081644174016	84
17	MLL	7.20998105388334	54
18	MYC	-20.8388566485674	76
19	NF1	0.812608567538094	43
20	NRAS_p.G12_13	3.54256411851927	57
21	NRAS_p.Q61_62	26.9968591423106	90
22	PHF6	-0.697983218470579	50
23	PTPN11	-10.1160846038422	83
24	RAD21	-15.9763592003647	83
25	RUNX1	0.585435785179723	38
26	SF3B1	21.0641845063975	88
27	SMC1A	12.4504221750411	72
28	SMC3	0.546218185110144	46
29	SRSF2	17.9995443170527	99
30	STAG2	-0.452710286804355	53
31	TET2	23.83060493185	100
32	TP53	76.3385844925495	100
33	U2AF1_p.S34	18.6757900717894	88
34	WT1	14.5370044412898	76
35	add_11	17.1742804896182	85
36	add_13	7.90350193788562	56
37	add_21	1.3450150034758	48
38	add_22	-30.8567159946798	89
39	add_8	-3.87214947731777	49
40	complex	11.9119067421252	71
41	del_12	8.60341158309168	62
42	del_16	8.35345779298225	56
43	del_17	18.4201106328771	84
44	del_18	-20.9118428316083	79
45	del_20	9.03161209261538	62
46	del_3	-6.64054530810795	62
47	del_5	26.8509672635406	96
48	del_7	10.9241521614121	78
49	del_9	7.56813031246387	57
50	eln_2017_adverse	11.3710571842216	82
51	eln_2017_favorable	-21.7531861317745	93
52	eln_2017_intermediate	0.346438181758727	5
53	full_component_CEBPA_bi	-6.77815753865024	64
54	full_component_DNMT3A_IDH1_2	-0.745172211962518	33
55	full_component_NPM1	-6.49980702254983	36
56	full_component_TP53_complex	9.01662139058948	56
57	full_component_WT1	15.4023336343672	70
58	full_component_additions	17.8602757319172	92
59	full_component_chr_splicing_1	-4.02092215457244	46
60	full_component_chr_splicing_multiple	20.2902546963134	93
61	full_component_inv_16	-39.5054670727585	100
62	full_component_inv_3	61.796519351321	97
63	full_component_no_events	-23.0258992040933	88
64	full_component_not_assigned	-6.44020380955641	56
65	full_component_t_11	1.70023548968477	43
66	full_component_t_15_17	-119.628115457797	100
67	full_component_t_6_9	2.59397970801074	59
68	full_component_t_8_21	-37.262662317615	100
69	inv_16	-31.9933047176443	100
70	minusy	7.8885294706449	53
71	others_transloc	13.8126852584739	71
72	overlap	-0.263373753850103	32
73	t_8_21	-30.2657729646064	100
74	t_v_11	-1.70207602483502	47
