feature	coef	n
1	ASXL1	23.2157513163392	100
2	BCOR	4.1153229485696	100
3	CBL	11.7073217439734	100
4	CEBPA_mono	-0.202430728318344	100
5	DNMT3A	15.6955543135775	100
6	EZH2	22.447580354069	100
7	FLT3_TKD	0.65339321973788	100
8	FLT3_other	7.81130090517523	100
9	GATA2	-8.3145566754436	100
10	IDH1	-0.630769445316076	100
11	IDH2_p.R140	11.1787409366169	100
12	IDH2_p.R172	-15.7576269295012	100
13	ITD	27.6742338070414	100
14	KIT	-0.447107163279489	100
15	KRAS	20.6882590513041	100
16	MLL	9.8513263414261	100
17	MYC	-10.7801010835371	100
18	NF1	4.69352391338588	100
19	NRAS_p.G12_13	7.82968178155551	100
20	NRAS_p.Q61_62	28.3427035224156	100
21	PHF6	3.17238879426627	100
22	PTPN11	-8.62313211113414	100
23	RAD21	-12.940407031946	100
24	RUNX1	-1.10420899410199	100
25	SF3B1	28.3488118968305	100
26	SMC1A	16.1551581562792	100
27	SMC3	6.20459916598072	100
28	SRSF2	23.2687884117096	100
29	STAG2	1.19753133900376	100
30	TET2	28.5501621725939	100
31	TP53	58.3436520888075	100
32	U2AF1_p.S34	21.9967424074411	100
33	WT1	20.4544571701601	100
34	add_11	18.1417306655054	100
35	add_13	5.558748056162	100
36	add_21	-0.884834333441105	100
37	add_22	-24.7337214081007	100
38	add_8	-8.77678145035053	100
39	complex	14.9495447083569	100
40	del_12	11.0190904102708	100
41	del_16	10.4991349704078	100
42	del_17	22.7138410001196	100
43	del_18	-16.4967077267936	100
44	del_20	9.95022841227766	100
45	del_3	-4.26368867415633	100
46	del_5	32.6254816959376	100
47	del_7	17.2296437156946	100
48	del_9	9.55951946103505	100
49	eln_2017_adverse	27.970430944884	100
50	eln_2017_favorable	-17.9906910845051	100
51	eln_2017_intermediate	14.9500917485465	100
52	full_component_CEBPA_bi	5.09295552485452	100
53	full_component_DNMT3A_IDH1_2	2.81702231640422	100
54	full_component_NPM1	10.3624947704286	100
55	full_component_TP53_complex	23.0036534259805	100
56	full_component_WT1	23.820654198934	100
57	full_component_additions	33.0170519466038	100
58	full_component_chr_splicing_1	3.33867397599244	100
59	full_component_chr_splicing_multiple	28.504572540743	100
60	full_component_inv_16	-34.6592511448931	100
61	full_component_inv_3	41.185499507227	100
62	full_component_no_events	-4.93543686941963	100
63	full_component_not_assigned	3.89956956661247	100
64	full_component_t_11	14.4786578731486	100
65	full_component_t_15_17	-33.4523453157885	100
66	full_component_t_6_9	10.6834256179915	100
67	full_component_t_8_21	-32.7324904156924	100
68	minusy	13.1308233869897	100
69	others_transloc	17.4951713869976	100
70	overlap	-10.1723381257242	100
