feature	coef	n
1	ASXL1	11.0729569498379	80
2	BCOR	7.3650621618173	64
3	CBL	4.53315311673798	50
4	CEBPA_mono	-4.88773675315654	49
5	DNMT3A	7.83034578443152	83
6	EZH2	6.94823773788407	57
7	FLT3_TKD	-4.27766957232701	66
8	FLT3_other	2.21891741152668	42
9	GATA2	-14.8589060673912	81
10	IDH1	-2.5205268160994	46
11	IDH2_p.R140	1.20394160517464	42
12	IDH2_p.R172	-28.3538779551057	87
13	ITD	12.5433988244728	93
14	KIT	3.25301429946804	32
15	KRAS	8.37381557865969	69
16	MLL	6.21692540356619	60
17	MYC	-5.65024984020376	44
18	NF1	5.17418518648446	44
19	NRAS_p.G12_13	4.60218694203719	61
20	NRAS_p.Q61_62	24.8626770754256	89
21	PHF6	2.06354985725095	37
22	PTPN11	-5.7993203493157	60
23	RAD21	-1.11823286868717	43
24	RUNX1	-0.460092151992123	31
25	SF3B1	3.34645801341316	41
26	SMC1A	2.39537089212606	52
27	SMC3	2.5109233276431	32
28	SRSF2	0.346407227822787	22
29	STAG2	-1.08902201129405	44
30	TET2	3.80319414934927	57
31	TP53	57.6745317367849	100
32	U2AF1_p.S34	6.10502341403716	61
33	WT1	26.6150187321912	93
34	add_11	16.9504063231463	83
35	add_13	6.28385141435141	49
36	add_21	-0.437457691632157	40
37	add_22	-18.8645335019777	80
38	add_8	-5.12436612221559	41
39	age	3.30154036358176	100
40	ahd	-33.9216342922579	100
41	bm_blasts	0.0929083549901699	65
42	complex	7.9894866598863	55
43	del_12	10.8607907485521	67
44	del_16	2.05365082068865	40
45	del_17	18.4904492678555	86
46	del_18	-11.3656144667301	52
47	del_20	2.33385142240505	48
48	del_3	-3.64846233395726	44
49	del_5	16.5409436034915	82
50	del_7	13.2873333372842	86
51	del_9	6.93289909421002	51
52	eln_2017_adverse	8.86687642249566	75
53	eln_2017_favorable	-29.8886681188368	96
54	eln_2017_intermediate	0.440232236443564	8
55	full_component_CEBPA_bi	2.34438532505007	26
56	full_component_DNMT3A_IDH1_2	0.401149091671256	29
57	full_component_NPM1	-10.1609277270706	51
58	full_component_TP53_complex	7.12885666827351	41
59	full_component_WT1	17.1734337877849	69
60	full_component_additions	14.6572362302327	76
61	full_component_chr_splicing_1	-5.06280014444218	51
62	full_component_chr_splicing_multiple	8.25864632350259	72
63	full_component_inv_16	-53.211275921445	100
64	full_component_inv_3	66.9728054128011	92
65	full_component_no_events	-40.578617223416	98
66	full_component_not_assigned	-1.39891480578492	29
67	full_component_t_11	9.12078874839331	60
68	full_component_t_15_17	-95.6970897437197	99
69	full_component_t_6_9	30.734188177303	74
70	full_component_t_8_21	-37.0259532081286	92
71	gender	2.54256013095227	53
72	hb	-0.00195588320748215	44
73	minusy	-1.94930176948539	42
74	others_transloc	11.7514221397656	61
75	overlap	2.97142444143331	43
76	perf_status	20.6856568139978	100
77	plt	-0.0219023616765048	66
78	secondary	1.73078330485164	44
79	wbc	0.190683890693194	99
