feature	coef	n
1	ASXL1	10.2606356498466	77
2	BCOR	7.88910006641629	67
3	CBL	6.48133439431108	52
4	CEBPA_mono	-2.81575152341766	45
5	DNMT3A	10.3438488310693	89
6	EZH2	13.366248527948	71
7	FLT3_TKD	-3.04506104596974	52
8	FLT3_other	4.03668690642608	54
9	GATA2	-13.5379246604109	78
10	IDH1	-2.4254278287431	46
11	IDH2_p.R140	7.77461041268874	69
12	IDH2_p.R172	-19.6281428557768	77
13	ITD	8.53607144594188	81
14	KIT	-1.20442689366808	27
15	KRAS	7.09593613722754	56
16	MLL	4.92073437910377	57
17	MYC	-19.913928814535	73
18	NF1	-2.71125411081677	54
19	NRAS_p.G12_13	0.998333562408963	47
20	NRAS_p.Q61_62	22.2633884534669	88
21	PHF6	1.80726344480438	44
22	PTPN11	-7.74451968704746	73
23	RAD21	-8.88371633368564	61
24	RUNX1	1.40514316728498	34
25	SF3B1	15.9637122934864	77
26	SMC1A	8.72954568198721	61
27	SMC3	3.23117139002522	42
28	SRSF2	10.631646104479	89
29	STAG2	1.30905505870707	50
30	TET2	19.8663308016953	100
31	TP53	68.3639064325304	100
32	U2AF1_p.S34	15.9021269695732	87
33	WT1	17.4348458845463	83
34	add_11	19.3409594594583	85
35	add_13	7.18091324113605	46
36	add_21	2.00942549392813	42
37	add_22	-24.8685196548716	84
38	add_8	-3.59660188119608	41
39	ahd	-45.4179099669365	100
40	bm_blasts	0.0645648255916629	58
41	complex	8.13386157669349	58
42	del_12	9.34591235810636	59
43	del_16	3.33702282124081	43
44	del_17	27.2963066046266	92
45	del_18	-17.8904281205329	65
46	del_20	6.53725178960309	50
47	del_3	-4.03640529836874	58
48	del_5	26.658390312505	93
49	del_7	13.3840590521951	88
50	del_9	4.9189308688317	48
51	eln_2017_adverse	11.7075682147745	84
52	eln_2017_favorable	-21.2394441894256	87
53	eln_2017_intermediate	0.3128070318315	5
54	full_component_CEBPA_bi	-7.99886047007374	53
55	full_component_DNMT3A_IDH1_2	1.12927702441335	34
56	full_component_NPM1	-10.2269663695051	53
57	full_component_TP53_complex	7.63458800195752	54
58	full_component_WT1	12.1189182838456	64
59	full_component_additions	13.1368132490045	77
60	full_component_chr_splicing_1	-1.31474659253044	27
61	full_component_chr_splicing_multiple	19.0602438626063	96
62	full_component_inv_16	-80.5444477866284	100
63	full_component_inv_3	58.1535730527458	95
64	full_component_no_events	-17.6118886031064	76
65	full_component_not_assigned	-3.06738774750336	40
66	full_component_t_11	-0.909592189005195	50
67	full_component_t_15_17	-103.155742756903	100
68	full_component_t_6_9	9.93100236783515	56
69	full_component_t_8_21	-61.2678160010047	99
70	gender	1.24123482079428	50
71	hb	-0.0304767285977256	44
72	minusy	5.4250405359026	47
73	others_transloc	6.97366576077392	53
74	overlap	1.41052403858808	33
75	perf_status	26.6389085264327	100
76	plt	-0.0289620738830873	74
77	secondary	7.20805871575839	87
78	wbc	0.185016542191484	100
