feature	coef	n
1	ASXL1	13.6762395605899	100
2	BCOR	11.4794480834863	100
3	CBL	9.92285042164525	100
4	CEBPA_bi	0.572854399929828	100
5	CEBPA_mono	-1.34656591905409	100
6	DNMT3A	15.3252913288773	100
7	EZH2	15.614196111145	100
8	FLT3_TKD	-4.47270631068137	100
9	FLT3_other	4.99728116608098	100
10	GATA2	-12.0403624721622	100
11	IDH1	0.606305543153859	100
12	IDH2_p.R140	13.824501509082	100
13	IDH2_p.R172	-11.4550050901984	100
14	ITD	12.9968041328203	100
15	KIT	-0.243135736775755	100
16	KRAS	10.987123674135	100
17	MLL	6.50941054038605	100
18	MYC	-10.9246281228636	100
19	NF1	-1.13456994785478	100
20	NRAS_p.G12_13	3.58167361337854	100
21	NRAS_p.Q61_62	23.6886894093501	100
22	PHF6	5.4488375754565	100
23	PTPN11	-6.25262635132581	100
24	RAD21	-7.26046461472971	100
25	RUNX1	-0.486894877944751	100
26	SF3B1	23.0716907959639	100
27	SMC1A	11.2058234690034	100
28	SMC3	8.39843851496955	100
29	SRSF2	14.9936141824129	100
30	STAG2	1.95010839409758	100
31	TET2	24.2379683774957	100
32	TP53	49.7410773695338	100
33	U2AF1_p.S34	18.3989023575741	100
34	WT1	21.4494990616749	100
35	add_11	19.2087784893239	100
36	add_13	3.43666009189012	100
37	add_21	-0.376329644061265	100
38	add_22	-19.6307703031036	100
39	add_8	-9.54414828709757	100
40	ahd	-38.3998236730106	100
41	bm_blasts	0.123314440814834	100
42	complex	12.5740002855436	100
43	del_12	12.2701244968022	100
44	del_16	4.00357613395291	100
45	del_17	27.2611663759929	100
46	del_18	-12.3809152037187	100
47	del_20	6.41730171150399	100
48	del_3	-2.49545449809521	100
49	del_5	31.604772751869	100
50	del_7	19.3381637770042	100
51	del_9	5.74930641560644	100
52	eln_2017_adverse	23.0242053136228	100
53	eln_2017_favorable	-17.6860654584114	100
54	eln_2017_intermediate	9.95244186552713	100
55	full_component_CEBPA_bi	0.572854399929828	100
56	full_component_DNMT3A_IDH1_2	3.07569381497565	100
57	full_component_NPM1	-2.17711932911638	100
58	full_component_TP53_complex	19.900856199981	100
59	full_component_WT1	17.1024877343546	100
60	full_component_additions	24.0481839846872	100
61	full_component_chr_splicing_1	3.4194139000665	100
62	full_component_chr_splicing_multiple	23.8498297564827	100
63	full_component_inv_16	-28.4233601041684	100
64	full_component_inv_3	33.4157064890526	100
65	full_component_no_events	-4.85668167785324	100
66	full_component_not_assigned	4.21976947585947	100
67	full_component_t_11	6.38225448366348	100
68	full_component_t_15_17	-27.6062213466171	100
69	full_component_t_6_9	11.2972822954693	100
70	full_component_t_8_21	-20.9151640309017	100
71	gender	2.30073566055776	100
72	hb	-0.053279233409814	100
73	inv_16	-28.4233601041684	100
74	minusy	10.1761148333284	100
75	others_transloc	10.1041984608479	100
76	overlap	-3.19548651826976	100
77	perf_status	28.2007441377957	100
78	plt	-0.038966253525875	100
79	secondary	12.5630614746632	100
80	t_8_21	-20.9151640309017	100
81	t_v_11	2.19700255268952	100
82	wbc	0.209204777419868	100
