feature	coef	n
1	ASXL1	20.2081134717764	100
2	BCOR	4.96021328741673	100
3	CBL	6.15992083503511	100
4	CEBPA_bi	2.53056268744674	100
5	CEBPA_mono	-9.40896557745891	100
6	DNMT3A	11.5983728790605	100
7	EZH2	17.9898961810965	100
8	FLT3_TKD	-4.11131959506041	100
9	FLT3_other	7.89166452019531	100
10	GATA2	-25.2440331112346	100
11	IDH1	-7.2660059082004	100
12	IDH2_p.R140	-3.33050459696082	100
13	IDH2_p.R172	-46.6650090964107	100
14	ITD	26.7284638585801	100
15	KIT	7.98191897289623	100
16	KRAS	20.8085913178301	100
17	MLL	13.6859358781425	100
18	MYC	-17.27267764941	100
19	NF1	18.2539825924909	100
20	NRAS_p.G12_13	13.3169430052417	100
21	NRAS_p.Q61_62	39.5814985651112	100
22	PHF6	-0.707581120235445	100
23	PTPN11	-13.2081002646974	100
24	RAD21	-12.7913952767132	100
25	RUNX1	-6.08765321244813	100
26	SF3B1	4.12123987999196	100
27	SMC1A	6.80802503000205	100
28	SMC3	1.01867649161293	100
29	SRSF2	5.8575991483328	100
30	STAG2	-8.55356975610399	100
31	TET2	8.60020544216751	100
32	TP53	69.6910449836566	100
33	U2AF1_p.S34	8.06770636019712	100
34	WT1	25.3492457473773	100
35	age	3.19292018980383	100
36	eln_2017_adverse	14.7846648668753	100
37	eln_2017_favorable	-18.72532656435	100
38	eln_2017_intermediate	5.60282267359537	100
39	full_component_CEBPA_bi	2.53314703313638	100
40	full_component_DNMT3A_IDH1_2	6.90363779343025	100
41	full_component_NPM1	-15.0391382292339	100
42	full_component_TP53_complex	30.0455212118758	100
43	full_component_WT1	29.6257809433806	100
44	full_component_additions	20.8997607286551	100
45	full_component_chr_splicing_1	-12.9570964514253	100
46	full_component_chr_splicing_multiple	7.76343689894877	100
47	full_component_inv_16	-68.1246619104317	100
48	full_component_inv_3	88.7074618665524	100
49	full_component_no_events	-55.4691399805695	100
50	full_component_not_assigned	-5.39381691243365	100
51	full_component_t_11	16.656715899335	100
52	full_component_t_15_17	-125.311950277652	100
53	full_component_t_6_9	27.6224746605407	100
54	full_component_t_8_21	-54.8691429993131	100
55	gender	5.69376137793475	100
56	overlap	-4.81746927628745	100
