feature	coef	n
1	ASXL1	17.1307173096691	88
2	BCOR	3.28847307291352	54
3	CBL	3.85899554520699	59
4	CEBPA_mono	-7.05499926242958	66
5	DNMT3A	8.82867864101884	86
6	EZH2	12.6957738866429	73
7	FLT3_TKD	-2.37259313322684	67
8	FLT3_other	4.8125767125108	58
9	GATA2	-18.6677420158015	88
10	IDH1	-4.8323863077166	67
11	IDH2_p.R140	-2.49561432650535	63
12	IDH2_p.R172	-41.9620784809654	93
13	ITD	26.2853528619565	100
14	KIT	5.69466592126057	50
15	KRAS	17.294925593443	90
16	MLL	10.5073593520172	76
17	MYC	-8.51969773868952	57
18	NF1	13.5808183930683	81
19	NRAS_p.G12_13	11.2024069167534	89
20	NRAS_p.Q61_62	35.8406908629314	95
21	PHF6	-0.72023632922021	60
22	PTPN11	-9.10925860898269	76
23	RAD21	-7.81446009214316	72
24	RUNX1	-3.25816733295919	55
25	SF3B1	0.894908831107218	64
26	SMC1A	3.77622826990047	62
27	SMC3	0.091582000499182	52
28	SRSF2	1.91178022590234	48
29	STAG2	-5.90238392443964	64
30	TET2	5.25367561646348	80
31	TP53	76.5113637160074	100
32	U2AF1_p.S34	6.02231167761651	69
33	WT1	25.2263911324191	92
34	age	3.60837557678008	100
35	eln_2017_adverse	9.48329531894906	77
36	eln_2017_favorable	-25.4131223094883	89
37	eln_2017_intermediate	0.613371561478154	9
38	full_component_CEBPA_bi	1.47190562103175	43
39	full_component_DNMT3A_IDH1_2	1.19013012494916	40
40	full_component_NPM1	-15.1829268190473	62
41	full_component_TP53_complex	19.6760705696484	84
42	full_component_WT1	22.0055868090553	80
43	full_component_additions	14.5468871778323	91
44	full_component_chr_splicing_1	-12.1122519770363	76
45	full_component_chr_splicing_multiple	5.28562912165578	57
46	full_component_inv_16	-63.8681478564324	100
47	full_component_inv_3	80.0202043915352	98
48	full_component_no_events	-56.3532820146321	100
49	full_component_not_assigned	-5.22034882553292	52
50	full_component_t_11	11.8083750626238	73
51	full_component_t_15_17	-125.039526184571	100
52	full_component_t_6_9	22.5946538568445	72
53	full_component_t_8_21	-50.986377886252	94
54	gender	4.50642967834529	66
55	overlap	0.728336854630716	34
