feature	coef	n
1	ASXL1	19.1302482863382	91
2	BCOR	4.31699702196039	63
3	CBL	7.14157488791556	61
4	CEBPA_bi	5.39625846061728	50
5	CEBPA_mono	-1.42981210389067	59
6	DNMT3A	15.0545357909777	99
7	EZH2	26.8234731429437	92
8	FLT3_TKD	-3.97249042923041	66
9	FLT3_other	3.07971913791258	59
10	GATA2	-5.31301999020828	63
11	IDH1	-3.69699173447783	63
12	IDH2_p.R140	7.20884848361477	64
13	IDH2_p.R172	-34.7609076742507	93
14	ITD	23.0924632588913	100
15	KIT	-9.86280917623508	63
16	KRAS	17.0168157118573	89
17	MLL	6.49730164124237	62
18	MYC	-16.8873793406737	70
19	NF1	5.30552100521296	61
20	NPM1	10.8561959965865	66
21	NRAS_p.G12_13	3.63615404290123	59
22	NRAS_p.Q61_62	20.9708740193459	83
23	PHF6	3.23136801116594	58
24	PTPN11	-5.49774666766029	67
25	RAD21	-19.7489685309553	87
26	RUNX1	1.59080381575853	47
27	SF3B1	34.8316015891204	99
28	SMC1A	15.070214456061	74
29	SMC3	2.39689130023253	48
30	SRSF2	28.4581067465399	100
31	STAG2	3.46978201818088	64
32	TET2	29.1584793247817	100
33	TP53	114.83706603537	100
34	U2AF1_p.S34	27.9392359138293	95
35	WT1	21.3245772420395	92
36	eln_2017_adverse	30.737103611075	100
37	eln_2017_favorable	-43.7573468195847	100
