feature	coef	n
1	ASXL1	0.25027090852356	39
2	ASXL1_intense	0.0126424666628407	5
3	BCOR	0.0235301565261923	9
4	CBL	0.00249552896990372	1
5	CEBPA_mono_intense	-0.0708791581385494	18
6	DNMT3A	0.0230784856274804	4
7	EZH2	0.00658897201267991	3
8	FLT3_TKD	-0.0238132691996226	7
9	FLT3_TKD_intense	-0.00962304158969293	1
10	GATA2	-0.0898220953789561	24
11	GATA2_intense	-0.00134443653273171	1
12	IDH1_intense	-0.00355236724042001	2
13	IDH2_p.R172	-0.00620020778705072	3
14	IDH2_p.R172_intense	-0.0881926681755787	31
15	ITD	0.112569416280487	16
16	KIT_intense	-0.00164610702231753	1
17	KRAS	0.0327265624316441	7
18	KRAS_intense	0.00958790184262742	3
19	MLL	0.16336291237902	29
20	MLL_intense	0.00567933584865318	3
21	MYC_intense	-0.00219897893251576	1
22	NF1	0.00161913511710384	1
23	NRAS_p.G12_13	0.00300641119445318	1
24	NRAS_p.Q61_62	0.045570860161325	14
25	NRAS_p.Q61_62_intense	0.00341589427653495	1
26	PHF6_intense	-0.00105859406415673	1
27	PTPN11	-0.0202777568318642	4
28	PTPN11_intense	-0.0289345330351417	5
29	RAD21_intense	-0.0205585637043598	7
30	RUNX1	0.0265176681549161	4
31	RUNX1_intense	0.0180730856470004	3
32	SF3B1	0.00449401114711449	2
33	SF3B1_intense	0.00358499786228796	2
34	SMC3_intense	-0.00503722293589984	3
35	STAG2_intense	-0.00503210649517336	2
36	TET2	0.0144201945707323	3
37	TP53	4.42809036669163	100
38	TP53_intense	0.123447623882669	18
39	U2AF1_p.S34	0.0601826091907794	18
40	WT1	0.176653185945108	26
41	WT1_intense	0.0750882652986862	15
42	add_11	0.0442801714263585	11
43	add_11_intense	0.208897590478022	41
44	add_13	0.00139215139405974	1
45	add_13_intense	0.00727325932267145	3
46	add_21	0.00145014385177094	1
47	add_22	-0.0117696578510551	4
48	add_22_intense	-0.0118152987414312	5
49	add_8_intense	-0.00226323538069893	1
50	age	440.608251754924	100
51	ahd	-1.3091395768507	95
52	complex	0.410418822477554	36
53	complex_intense	0.153278893298808	21
54	del_12	0.0726146532312863	24
55	del_12_intense	0.00575139557926273	1
56	del_16	0.00248461720570033	2
57	del_16_intense	0.00916374839295646	6
58	del_17	0.0699261926791264	18
59	del_17_intense	0.199637275711656	48
60	del_18	-0.00116168491028106	1
61	del_18_intense	-0.00282851306093524	3
62	del_20	0.0321064067233912	11
63	del_20_intense	0.0144052841655327	5
64	del_5	0.432984429441185	49
65	del_5_intense	0.150265685904124	30
66	del_7	0.509222095450219	58
67	del_7_intense	0.0558250475950621	10
68	del_9	0.00128972387825105	1
69	full_component_CEBPA_bi	-0.0120219062789832	7
70	full_component_CEBPA_bi_ITD	0.000520804994457628	1
71	full_component_CEBPA_bi_intense	-0.0304118061086604	13
72	full_component_DNMT3A_IDH1_2_ITD	0.00202937345838054	2
73	full_component_NPM1	-0.326970454115037	19
74	full_component_NPM1_ITD_intense	-0.117927271501208	15
75	full_component_NPM1_intense	-2.55629720613707	91
76	full_component_TP53_complex	1.11674287845262	58
77	full_component_TP53_complex_intense	0.0529674340898771	9
78	full_component_WT1	0.00248066990427382	2
79	full_component_WT1_ITD	0.0535410296530188	13
80	full_component_WT1_ITD_intense	0.222816074715532	56
81	full_component_WT1_intense	0.00954882334255695	4
82	full_component_additions	0.502522316058925	59
83	full_component_additions_intense	0.00202513002638793	1
84	full_component_chr_splicing_1	0.00262570508337934	1
85	full_component_chr_splicing_1_intense	-0.00451520922864139	1
86	full_component_chr_splicing_multiple	2.80155197100632	95
87	full_component_chr_splicing_multiple_intense	0.0698147831663582	13
88	full_component_inv_16	-1.44590750246703	100
89	full_component_inv_16_intense	-0.160035586057352	21
90	full_component_inv_3	0.0917221676020465	24
91	full_component_inv_3_intense	0.34113971009303	67
92	full_component_no_events	-0.202783285442007	53
93	full_component_not_assigned_ITD	0.0221070444708496	8
94	full_component_not_assigned_ITD_intense	0.0214249805600968	9
95	full_component_not_assigned_intense	-0.0106392570770098	3
96	full_component_t_11	0.028984999353475	9
97	full_component_t_15_17	-0.148466686112492	60
98	full_component_t_6_9_ITD	0.017480733424111	13
99	full_component_t_8_21	-0.033021329997789	2
100	full_component_t_8_21_intense	-1.47841931922042	95
101	gender	0.090128912006524	15
102	intense	-9.97789085689202	100
103	others_transloc	0.021323363716057	8
104	others_transloc_intense	0.00381168245131448	2
105	overlap	0.59639312948937	48
106	overlap_intense	0.0139114302140569	2
107	perf_status	5.79560086280802	99
108	plt	-7.63026359378602	4
109	secondary	0.0276833141229006	4
110	wbc	474.270158100024	99
