feature	coef	n
1	ASXL1	0.414430355708584	54
2	ASXL1_intense	0.0834918027741006	14
3	BCOR	0.0138371075992007	5
4	CBL	0.00727319213954209	3
5	CEBPA_mono_intense	-0.0769852046261242	20
6	DNMT3A	0.131280996290807	16
7	EZH2	0.0258151233526528	8
8	FLT3_TKD	-0.0143990107781243	5
9	FLT3_TKD_intense	-0.0118141122255212	1
10	GATA2	-0.165921255058736	36
11	GATA2_intense	-0.00828486887627992	5
12	IDH1_intense	-0.0173654021037433	5
13	IDH2_p.R140	0.00956145110848775	4
14	IDH2_p.R172	-0.0208853923187493	8
15	IDH2_p.R172_intense	-0.140413986426739	39
16	ITD	0.707914224276831	58
17	KIT_intense	-0.00541201913553488	1
18	KRAS	0.082353342678422	15
19	KRAS_intense	0.0241384125484891	7
20	MLL	0.195849932565046	35
21	MLL_intense	0.00917647418892718	3
22	MYC_intense	-0.0186348862066486	10
23	NRAS_p.G12_13	-0.0026885878414582	2
24	NRAS_p.G12_13_intense	-0.00732740633580777	2
25	NRAS_p.Q61_62	0.0828883444332612	20
26	NRAS_p.Q61_62_intense	0.00474237963459375	1
27	PHF6_intense	-0.0105759490883092	5
28	PTPN11	-0.0535450075236957	9
29	PTPN11_intense	-0.0712385912439827	12
30	RAD21_intense	-0.092815299920496	22
31	RUNX1	0.0266752772746888	5
32	RUNX1_intense	0.036824475013654	7
33	SF3B1	0.0116540904810891	7
34	SF3B1_intense	0.0138800353547733	7
35	SMC1A_intense	0.00340409549264461	3
36	SMC3_intense	-0.00608359121148798	3
37	SRSF2	0.0388939528025025	6
38	STAG2_intense	-0.00807850129572413	2
39	TET2	0.327688995500736	36
40	TP53	4.82726512803458	100
41	TP53_intense	0.139330911583739	22
42	U2AF1_p.S34	0.122842371833778	33
43	U2AF1_p.S34_intense	0.00250604063135908	1
44	WT1	0.0915193919992943	17
45	WT1_intense	0.0159317509100008	5
46	add_11	0.0573707673729551	13
47	add_11_intense	0.251049075230595	53
48	add_13	0.0172572726690091	8
49	add_13_intense	0.014264642331922	4
50	add_22	-0.0242640982928268	8
51	add_22_intense	-0.038320454582135	15
52	add_8_intense	-0.00656849870670847	1
53	complex	0.379233891807322	31
54	complex_intense	0.189809833553747	23
55	del_12	0.0661323976582932	23
56	del_12_intense	0.00382618724356049	1
57	del_16	0.0034640186904948	2
58	del_16_intense	0.0187756198721898	7
59	del_17	0.0580976382009213	17
60	del_17_intense	0.207665376478187	44
61	del_18	-0.0010785375893669	1
62	del_18_intense	-0.01315505875095	6
63	del_20	0.0689189747651776	19
64	del_20_intense	0.0207921317814773	6
65	del_3	-0.00204134424433866	1
66	del_5	0.537070257335524	58
67	del_5_intense	0.182193434112837	32
68	del_7	0.428365793162966	51
69	del_7_intense	0.0852321061280744	21
70	del_9	0.00123060784001752	1
71	full_component_CEBPA_bi	-0.058426522091888	20
72	full_component_CEBPA_bi_ITD	0.00534015839331403	3
73	full_component_CEBPA_bi_intense	-0.137761800042904	36
74	full_component_DNMT3A_IDH1_2_ITD	0.00934817985831665	8
75	full_component_DNMT3A_IDH1_2_ITD_intense	0.00134567808961205	2
76	full_component_NPM1	-0.17117540080243	13
77	full_component_NPM1_ITD_intense	-0.0333679461293756	5
78	full_component_NPM1_intense	-2.34191999448682	89
79	full_component_TP53_complex	1.24085534327559	63
80	full_component_TP53_complex_intense	0.0871107110893679	16
81	full_component_WT1_ITD	0.0518469583515343	15
82	full_component_WT1_ITD_intense	0.25922171134309	68
83	full_component_WT1_intense	0.00463974680779372	2
84	full_component_additions	0.603451970819661	61
85	full_component_additions_intense	0.00208892928453074	1
86	full_component_chr_splicing_1	0.00234969128723016	1
87	full_component_chr_splicing_1_intense	-0.00396444431305327	1
88	full_component_chr_splicing_multiple	3.87599607532241	100
89	full_component_chr_splicing_multiple_intense	0.26656611166044	35
90	full_component_inv_16	-1.83426911689851	99
91	full_component_inv_16_intense	-0.356454979537563	33
92	full_component_inv_3	0.0839621281666304	19
93	full_component_inv_3_intense	0.32535019389813	72
94	full_component_no_events	-0.198004837698876	52
95	full_component_not_assigned	-0.0847343986455351	27
96	full_component_not_assigned_ITD	0.0194080804083627	10
97	full_component_not_assigned_ITD_intense	0.0157480568827968	8
98	full_component_not_assigned_intense	-0.0319754512927842	4
99	full_component_t_11	0.00146987759763358	1
100	full_component_t_15_17	-0.290953725969455	78
101	full_component_t_6_9_ITD	0.00855376994640092	8
102	full_component_t_8_21	-0.042046457193236	2
103	full_component_t_8_21_intense	-2.2622398351369	98
104	intense	-15.9709684586445	100
105	minusy	0.00292149764012259	1
106	others_transloc	0.0279835716785756	11
107	others_transloc_intense	0.0147806073611176	5
108	overlap	0.501851149795687	39
109	overlap_intense	0.00584211398618154	1
