feature	coef	n
1	add_11_intense	46.7211104960143	100
2	add_13_intense	-9.90471687703303	100
3	add_21_intense	-15.0604123331846	100
4	add_22_intense	-41.2200505935824	100
5	add_8_intense	-25.8145950612701	100
6	complex_intense	-11.563247089033	100
7	del_12_intense	-5.10566954976804	100
8	del_16_intense	13.1066787804682	100
9	del_17_intense	41.8007601525475	100
10	del_18_intense	-49.1865171549005	100
11	del_20_intense	12.8419810454447	100
12	del_3_intense	-4.05243905867477	100
13	del_5_intense	43.8821129587708	100
14	del_7_intense	17.767418169722	100
15	del_9_intense	-0.449009975828961	100
16	full_component_CEBPA_bi_ITD_intense	10.5605240549316	100
17	full_component_CEBPA_bi_intense	-74.805600367144	100
18	full_component_DNMT3A_IDH1_2_ITD_intense	22.795800289625	100
19	full_component_DNMT3A_IDH1_2_intense	-26.0932112454008	100
20	full_component_NPM1_ITD_intense	-26.4026447630192	100
21	full_component_NPM1_intense	-57.6829696697148	100
22	full_component_TP53_complex_intense	52.4292027430849	100
23	full_component_WT1_ITD_intense	62.6858519565506	100
24	full_component_WT1_intense	2.92070044420425	100
25	full_component_additions_intense	17.3195839345332	100
26	full_component_chr_splicing_1_intense	-30.0319415221608	100
27	full_component_chr_splicing_multiple_intense	20.6470034933495	100
28	full_component_inv_16_intense	-106.414080006422	100
29	full_component_inv_3_intense	65.2892670414552	100
30	full_component_no_events_intense	-51.1175961926678	100
31	full_component_not_assigned_ITD_intense	29.239701243177	100
32	full_component_not_assigned_intense	-50.3511619772747	100
33	full_component_t_11_intense	-11.5728766562019	100
34	full_component_t_15_17_intense	-104.898008938121	100
35	full_component_t_6_9_ITD_intense	32.6192951511871	100
36	full_component_t_6_9_intense	-20.9218633431045	100
37	full_component_t_8_21_ITD_intense	1.918761298361	100
38	full_component_t_8_21_intense	-124.699276454127	100
39	intense	-128.910374507035	100
40	minusy_intense	10.1392565518755	100
41	others_transloc_intense	15.2191109710659	100
42	overlap_intense	24.3006264516939	100
