feature	coef	n
1	ASXL1_intense	0.317392582347667	47
2	BCOR_intense	0.00113663417984364	1
3	CBL_intense	0.000867215433100504	1
4	CEBPA_mono_intense	-0.113700229191779	26
5	DNMT3A_intense	0.0226834299177675	3
6	FLT3_TKD_intense	-0.0138797996526987	1
7	FLT3_other_intense	0.00144158526188733	1
8	GATA2_intense	-0.0461758045325234	18
9	IDH1_intense	-0.0258313321900032	7
10	IDH2_p.R140_intense	0.0077629261921754	2
11	IDH2_p.R172_intense	-0.2256281132587	54
12	ITD_intense	0.029233330650533	6
13	KIT_intense	-0.00381887297843042	1
14	KRAS_intense	0.0833142235099464	16
15	MLL_intense	0.114290866066069	27
16	MYC_intense	-0.0340350094694669	16
17	NRAS_p.G12_13_intense	-0.0145073036772167	3
18	NRAS_p.Q61_62_intense	0.0412323409497129	10
19	PHF6_intense	-0.0146309396671852	7
20	PTPN11_intense	-0.11510732259441	20
21	RAD21_intense	-0.130502872897269	28
22	RUNX1_intense	0.0892783997434955	11
23	SF3B1_intense	0.0231450417862264	10
24	SMC1A_intense	0.00980452200353366	5
25	SMC3_intense	-0.00923406588064997	3
26	SRSF2_intense	0.0244047675569894	7
27	STAG2_intense	-0.0106632816210777	2
28	TET2_intense	0.00739923611753438	2
29	TP53_intense	3.88025272682516	100
30	U2AF1_p.S34_intense	0.0471817705369029	18
31	WT1_intense	0.0742417752083496	15
32	full_component_CEBPA_bi_ITD_intense	0.00170022069073443	1
33	full_component_CEBPA_bi_intense	-0.26438972447424	60
34	full_component_DNMT3A_IDH1_2_ITD_intense	0.0134582671757681	12
35	full_component_NPM1_ITD_intense	-0.0525353055072159	8
36	full_component_NPM1_intense	-3.10373287690243	99
37	full_component_TP53_complex_intense	2.00539470393567	91
38	full_component_WT1_ITD_intense	0.375052539810062	79
39	full_component_WT1_intense	0.00666166620252548	3
40	full_component_additions_intense	0.254292614081547	39
41	full_component_chr_splicing_1_intense	-0.0114675658044841	3
42	full_component_chr_splicing_multiple_intense	2.96026449839552	99
43	full_component_inv_16_intense	-2.25449418013257	100
44	full_component_inv_3_intense	0.465551381099098	91
45	full_component_no_events_intense	-0.10060656555678	30
46	full_component_not_assigned_ITD_intense	0.0518657760812043	22
47	full_component_not_assigned_intense	-0.0921324893847939	28
48	full_component_t_15_17_intense	-0.353631897986576	86
49	full_component_t_6_9_ITD_intense	0.0164784812618566	16
50	full_component_t_8_21_intense	-2.5623776036737	100
51	intense	-18.4571832644191	100
52	overlap_intense	0.186781968565682	26
