feature	coef	n
1	ASXL1_intense	34.3470555676092	100
2	BCOR_intense	-3.86900283310058	100
3	CBL_intense	11.2489297792524	100
4	CEBPA_mono_intense	-19.5650820314657	100
5	DNMT3A_intense	22.672796937566	100
6	EZH2_intense	2.10680652714527	100
7	FLT3_TKD_intense	4.81974272166629	100
8	FLT3_other_intense	6.77703995681213	100
9	GATA2_intense	-15.5794634087584	100
10	IDH1_intense	-6.00666865808253	100
11	IDH2_p.R140_intense	10.4359851960408	100
12	IDH2_p.R172_intense	-47.4099167791495	100
13	ITD_intense	22.5428851626368	100
14	KIT_intense	3.62217210960006	100
15	KRAS_intense	26.594073740334	100
16	MLL_intense	13.7986404323113	100
17	MYC_intense	-25.3909681189091	100
18	NF1_intense	-7.51096329519121	100
19	NRAS_p.G12_13_intense	2.60468846751378	100
20	NRAS_p.Q61_62_intense	29.826332322781	100
21	PHF6_intense	-7.39872947660556	100
22	PTPN11_intense	-15.9547696335737	100
23	RAD21_intense	-24.4096171121254	100
24	RUNX1_intense	-0.194536104097956	100
25	SF3B1_intense	19.2756617188302	100
26	SMC1A_intense	19.1054756756134	100
27	SMC3_intense	-8.88635665868279	100
28	SRSF2_intense	14.5437801613723	100
29	STAG2_intense	-11.0952493896427	100
30	TET2_intense	11.297902062765	100
31	TP53_intense	61.81371108683	100
32	U2AF1_p.S34_intense	22.34380991843	100
33	WT1_intense	28.0211416155422	100
34	add_11_intense	33.483576778811	100
35	add_13_intense	2.50558540188344	100
36	add_21_intense	-11.4074926525323	100
37	add_22_intense	-43.8651731121499	100
38	add_8_intense	-21.3799104060923	100
39	complex_intense	11.9838335606828	100
40	del_12_intense	-1.33337169058791	100
41	del_16_intense	9.38113652852612	100
42	del_17_intense	26.2366483708325	100
43	del_18_intense	-44.5751069662989	100
44	del_20_intense	12.0905566465848	100
45	del_3_intense	-11.7701414788163	100
46	del_5_intense	33.755006531493	100
47	del_7_intense	12.2116567403178	100
48	del_9_intense	4.29181875412777	100
49	full_component_CEBPA_bi_ITD_intense	9.23439053376563	100
50	full_component_CEBPA_bi_intense	-50.8517050110727	100
51	full_component_DNMT3A_IDH1_2_ITD_intense	22.5603679211375	100
52	full_component_DNMT3A_IDH1_2_intense	-9.7042650198494	100
53	full_component_NPM1_ITD_intense	-37.7617290656789	100
54	full_component_NPM1_intense	-49.6302170415262	100
55	full_component_TP53_complex_intense	28.2063967434419	100
56	full_component_WT1_ITD_intense	35.7853591666377	100
57	full_component_WT1_intense	1.09292787655015	100
58	full_component_additions_intense	24.3407433182008	100
59	full_component_chr_splicing_1_intense	-19.1922131023958	100
60	full_component_chr_splicing_multiple_intense	14.4486837138484	100
61	full_component_inv_16_intense	-91.0094597597979	100
62	full_component_inv_3_intense	74.1286624192736	100
63	full_component_no_events_intense	-26.9125403873264	100
64	full_component_not_assigned_ITD_intense	21.1896019680344	100
65	full_component_not_assigned_intense	-25.6102879162237	100
66	full_component_t_11_intense	0.520804100982398	100
67	full_component_t_15_17_intense	-80.7263397952916	100
68	full_component_t_6_9_ITD_intense	26.5475943522979	100
69	full_component_t_6_9_intense	-5.67569405374226	100
70	full_component_t_8_21_ITD_intense	-0.204752890583551	100
71	full_component_t_8_21_intense	-99.8780657215036	100
72	intense	-152.267571160304	100
73	minusy_intense	8.28040909472209	100
74	others_transloc_intense	18.312525849104	100
75	overlap_intense	4.82603375411981	100
