feature	coef	n
1	add_11	0.1888480375957	31
2	add_11_intense	0.777380983466735	89
3	add_13	0.0873130828140995	31
4	add_13_intense	0.0598564063552905	18
5	add_21	0.0250577470136706	8
6	add_21_intense	0.00327089555901116	4
7	add_22	-0.0952866312170876	26
8	add_22_intense	-0.0813171661044324	28
9	add_8	0.206857627202374	40
10	add_8_intense	-0.00973509979823871	2
11	complex	3.308833332913	100
12	complex_intense	0.266276568700817	35
13	del_12	0.127130827377543	35
14	del_12_intense	0.00500142983103316	6
15	del_16	0.0163808495251442	9
16	del_16_intense	0.0603785319601213	23
17	del_17	0.287021481884004	54
18	del_17_intense	0.633584872751115	88
19	del_18	-0.00889504423938491	5
20	del_18_intense	-0.0952500486734694	41
21	del_20	0.12462759677202	29
22	del_20_intense	0.0629431016554078	20
23	del_3	-0.000782722192912029	3
24	del_3_intense	0.018998237639062	12
25	del_5	2.15155212796494	98
26	del_5_intense	0.189188104422597	34
27	del_7	1.2374847178663	85
28	del_7_intense	0.643575909918598	72
29	del_9	0.0199160914746912	9
30	del_9_intense	-0.0174411411705279	7
31	intense	-18.1457571915718	100
32	inv_16	-2.8283234598923	100
33	inv_16_intense	-0.256225465265026	25
34	minusy	0.0215290231690495	9
35	minusy_intense	0.0141243069806275	4
36	others_transloc	0.106191748988991	32
37	others_transloc_intense	0.0299588393033816	12
38	t_8_21	-0.0798729094129457	7
39	t_8_21_intense	-2.94955772429318	98
40	t_v_11	0.0993891524876635	28
41	t_v_11_intense	-0.000771735480918035	1
