feature	coef	n
1	add_11	9.69737647341656	54
2	add_11_intense	41.1503840880817	94
3	add_13	11.8079129934456	55
4	add_13_intense	3.40128146448086	52
5	add_21	2.39436830323154	41
6	add_21_intense	2.26297560423129	38
7	add_22	-10.2399484483353	48
8	add_22_intense	-15.6595370951458	61
9	add_8	14.366287843352	78
10	add_8_intense	-7.25000681525592	34
11	complex	26.7261151161136	92
12	complex_intense	10.2470262757577	45
13	del_12	15.1082879440268	60
14	del_12_intense	-10.8793732594376	34
15	del_16	-6.70963259829581	45
16	del_16_intense	15.1853314502364	51
17	del_17	7.86948161689869	54
18	del_17_intense	40.8592968080948	91
19	del_18	2.68220687467883	27
20	del_18_intense	-40.6456716465178	81
21	del_20	8.87491867327132	62
22	del_20_intense	8.0283492527342	46
23	del_3	-7.18799428843099	44
24	del_3_intense	4.59214825821313	41
25	del_5	34.9230310120125	95
26	del_5_intense	11.7167619657678	57
27	del_7	16.9948201713464	83
28	del_7_intense	21.7826218028241	84
29	del_9	12.7814450724417	44
30	del_9_intense	-12.832994422927	39
31	intense	-137.287037264724	100
32	inv_16	-77.6730127827606	100
33	inv_16_intense	-13.6818533223012	45
34	minusy	5.79132916301973	40
35	minusy_intense	5.96349638589162	35
36	others_transloc	12.5348313258681	55
37	others_transloc_intense	1.56353011816292	42
38	t_8_21	-5.81049251889594	28
39	t_8_21_intense	-88.4441908818924	100
40	t_v_11	12.7053146939695	60
41	t_v_11_intense	-1.17622121859054	19
