feature	coef	n
1	eln_2017_adverse	4.48885648896522	50
2	eln_2017_adverse_intense	2.80117109721188	53
3	eln_2017_favorable	1.16909858030817	28
4	eln_2017_favorable_intense	-32.5126730839196	95
5	eln_2017_intermediate	-5.7428339404847	42
6	eln_2017_intermediate_intense	-0.725127767071274	43
7	full_component_CEBPA_bi	-32.5752302697914	73
8	full_component_CEBPA_bi_ITD	110.099377955744	80
9	full_component_CEBPA_bi_ITD_intense	40.759420583417	51
10	full_component_CEBPA_bi_intense	-33.8780534507273	77
11	full_component_DNMT3A_IDH1_2	-32.2828395936487	83
12	full_component_DNMT3A_IDH1_2_ITD	24.9434160719311	78
13	full_component_DNMT3A_IDH1_2_ITD_intense	17.1185787795629	69
14	full_component_DNMT3A_IDH1_2_intense	5.18136492973481	47
15	full_component_NPM1	-25.6616999582432	74
16	full_component_NPM1_ITD	11.1454378439849	57
17	full_component_NPM1_ITD_intense	-27.9867442180564	62
18	full_component_NPM1_intense	-18.1730565091084	72
19	full_component_TP53_complex	40.9915109869946	98
20	full_component_TP53_complex_intense	10.0453461950533	71
21	full_component_WT1	-6.22223471178269	64
22	full_component_WT1_ITD	-18.9224395880214	63
23	full_component_WT1_ITD_intense	78.4773540352431	97
24	full_component_WT1_intense	0.0930576759760907	63
25	full_component_additions	3.3292015175152	76
26	full_component_additions_intense	-8.5449058684897	54
27	full_component_chr_splicing_1	-0.544802989425564	45
28	full_component_chr_splicing_1_intense	-38.9819626017215	99
29	full_component_chr_splicing_multiple	-9.19692179987804	57
30	full_component_chr_splicing_multiple_intense	11.0020953190755	79
31	full_component_inv_16	-110.992683043346	100
32	full_component_inv_16_intense	-5.45325794982283	65
33	full_component_inv_3	-12.3040886345279	80
34	full_component_inv_3_intense	85.6021263056807	99
35	full_component_no_events	-94.5009755613728	100
36	full_component_no_events_intense	23.3271330479031	45
37	full_component_not_assigned	-54.1497475987809	99
38	full_component_not_assigned_ITD	-1.76668067818275	53
39	full_component_not_assigned_ITD_intense	20.1226436663416	89
40	full_component_not_assigned_intense	-6.46451397567499	53
41	full_component_t_11	13.046363989011	47
42	full_component_t_11_intense	-35.5842461537476	75
43	full_component_t_15_17	-96.0498198881259	100
44	full_component_t_15_17_intense	-82.0107486959036	100
45	full_component_t_6_9	-32.4979497199458	82
46	full_component_t_6_9_ITD	12.4415146164375	79
47	full_component_t_6_9_ITD_intense	7.78726676990055	84
48	full_component_t_6_9_intense	-20.6250280759181	80
49	full_component_t_8_21	-3.66529387096475	23
50	full_component_t_8_21_ITD	16.5636386734194	77
51	full_component_t_8_21_ITD_intense	12.7706969103479	76
52	full_component_t_8_21_intense	-112.066627962428	100
53	intense	-119.704231935174	100
54	overlap	17.3159492765506	71
55	overlap_intense	1.73245901042687	38
