feature	coef	n
1	eln_2017_adverse	4.28219222557268	51
2	eln_2017_adverse_intense	4.74582873743579	52
3	eln_2017_favorable	1.40667533902095	26
4	eln_2017_favorable_intense	-30.7852369010088	92
5	eln_2017_intermediate	-5.7793440256505	43
6	eln_2017_intermediate_intense	1.18776183254087	22
7	full_component_CEBPA_bi	-34.2431910773494	72
8	full_component_CEBPA_bi_ITD	130.512872954585	80
9	full_component_CEBPA_bi_ITD_intense	18.9196713027053	38
10	full_component_CEBPA_bi_intense	-32.4466175771461	75
11	full_component_DNMT3A_IDH1_2	-33.0717432249966	79
12	full_component_DNMT3A_IDH1_2_ITD	24.8634144618956	77
13	full_component_DNMT3A_IDH1_2_ITD_intense	16.449657280597	67
14	full_component_DNMT3A_IDH1_2_intense	5.64995222039944	48
15	full_component_NPM1	-26.6553618223358	75
16	full_component_NPM1_ITD	10.568227472122	53
17	full_component_NPM1_ITD_intense	-27.9513274650541	60
18	full_component_NPM1_intense	-17.6773093572957	69
19	full_component_TP53_complex	40.7654215059416	97
20	full_component_TP53_complex_intense	10.0753625108362	69
21	full_component_WT1	-9.07742109462643	64
22	full_component_WT1_ITD	-18.0926654016133	66
23	full_component_WT1_ITD_intense	77.2684686788169	91
24	full_component_WT1_intense	2.67927807130187	60
25	full_component_additions	3.02739794679966	72
26	full_component_additions_intense	-8.72241577331457	52
27	full_component_chr_splicing_1	-0.403514641568483	45
28	full_component_chr_splicing_1_intense	-39.3819553868177	99
29	full_component_chr_splicing_multiple	-9.84843091690538	56
30	full_component_chr_splicing_multiple_intense	11.3400612044714	77
31	full_component_inv_16	-119.283632448126	100
32	full_component_inv_16_intense	2.25318571415715	65
33	full_component_inv_3	-7.84452302289377	79
34	full_component_inv_3_intense	80.8782362786521	88
35	full_component_no_events	-96.3498157729448	100
36	full_component_no_events_intense	24.6276451520731	49
37	full_component_not_assigned	-54.6929905642178	99
38	full_component_not_assigned_ITD	1.28193391196848	53
39	full_component_not_assigned_ITD_intense	16.6033988130644	66
40	full_component_not_assigned_intense	-6.39056214913221	50
41	full_component_t_11	13.6195925115318	50
42	full_component_t_11_intense	-36.6379921743876	75
43	full_component_t_15_17	-173.779172087884	100
44	full_component_t_15_17_intense	-4.87639229604977	95
45	full_component_t_6_9	-50.2375732530645	81
46	full_component_t_6_9_ITD	20.2059137733634	84
47	full_component_t_6_9_ITD_intense	-0.504380695306349	33
48	full_component_t_6_9_intense	-3.2143586469852	72
49	full_component_t_8_21	-4.54793858754363	22
50	full_component_t_8_21_ITD	28.5442011259246	76
51	full_component_t_8_21_ITD_intense	-0.332800086768981	34
52	full_component_t_8_21_intense	-111.909220281553	100
53	intense	-122.194006922164	100
54	overlap	17.4442386692622	69
55	overlap_intense	2.01958199970903	39
