feature	coef	n
1	ASXL1	18.5884837174302	100
2	ASXL1_intense	11.1898810425664	100
3	BCOR	9.44639438244421	100
4	BCOR_intense	-13.3762923081233	100
5	CBL	18.7805872363991	100
6	CBL_intense	-5.44730425131449	100
7	CEBPA_mono	17.9231000082124	100
8	CEBPA_mono_intense	-34.0225064549345	100
9	DNMT3A	11.4236954681724	100
10	DNMT3A_intense	3.95523150052642	100
11	EZH2	24.7097620429383	100
12	EZH2_intense	-17.4966193032022	100
13	FLT3_TKD	-4.12378418677604	100
14	FLT3_TKD_intense	4.22455638642787	100
15	FLT3_other	-0.0790151847147133	100
16	FLT3_other_intense	1.91011997882281	100
17	GATA2	-22.9127428389988	100
18	GATA2_intense	1.66875372469542	100
19	IDH1	13.9087163369236	100
20	IDH1_intense	-20.6068300931675	100
21	IDH2_p.R140	3.02526787667434	100
22	IDH2_p.R140_intense	3.57042056046177	100
23	IDH2_p.R172	-6.40754388760762	100
24	IDH2_p.R172_intense	-46.3341543253795	100
25	ITD	16.9649679830426	100
26	ITD_intense	-7.01668793552076	100
27	KIT	8.85142173731933	100
28	KIT_intense	-3.40612909914958	100
29	KRAS	8.95874115005965	100
30	KRAS_intense	13.9476744105756	100
31	MLL	12.4139116839104	100
32	MLL_intense	-0.145910587188472	100
33	MYC	-6.0622008047733	100
34	MYC_intense	-23.9311012169958	100
35	NF1	9.03558644527749	100
36	NF1_intense	-17.0679746044679	100
37	NRAS_p.G12_13	11.460606641173	100
38	NRAS_p.G12_13_intense	-8.64743124609712	100
39	NRAS_p.Q61_62	25.7546086446514	100
40	NRAS_p.Q61_62_intense	6.90232591519325	100
41	PHF6	1.47859256802097	100
42	PHF6_intense	-10.3596448653452	100
43	PTPN11	-7.29739862266077	100
44	PTPN11_intense	-11.4239772134888	100
45	RAD21	7.44045935618615	100
46	RAD21_intense	-31.1086345668962	100
47	RUNX1	-1.03745826444803	100
48	RUNX1_intense	-1.50548371758998	100
49	SF3B1	9.52284154326198	100
50	SF3B1_intense	7.90169570684548	100
51	SMC1A	-6.10947082762591	100
52	SMC1A_intense	22.2669142300153	100
53	SMC3	21.5973463371709	100
54	SMC3_intense	-26.6161185520645	100
55	SRSF2	9.44407484107921	100
56	SRSF2_intense	3.06958118944109	100
57	STAG2	1.20804399030188	100
58	STAG2_intense	-14.0777399221004	100
59	TET2	16.5616975512897	100
60	TET2_intense	-6.04697027921419	100
61	TP53	41.0183477755056	100
62	TP53_intense	21.0553891923738	100
63	U2AF1_p.S34	22.2007910471754	100
64	U2AF1_p.S34_intense	0.434123037614903	100
65	WT1	13.9132282749805	100
66	WT1_intense	9.41581562320858	100
67	add_11	4.96364921656234	100
68	add_11_intense	27.2783595101325	100
69	add_13	11.5948978423872	100
70	add_13_intense	-2.95835861394152	100
71	add_21	-0.315286910448291	100
72	add_21_intense	-11.7514665836514	100
73	add_22	-19.1327471915593	100
74	add_22_intense	-28.4571267783639	100
75	add_8	4.01491057465546	100
76	add_8_intense	-20.225884163772	100
77	complex	9.10040383594284	100
78	complex_intense	1.49703280281486	100
79	del_12	17.2544130284877	100
80	del_12_intense	-15.6003489107013	100
81	del_16	-7.43843779867412	100
82	del_16_intense	16.5475453439084	100
83	del_17	9.58809182872755	100
84	del_17_intense	17.7069863845264	100
85	del_18	4.07435238998483	100
86	del_18_intense	-50.266541021581	100
87	del_20	5.68830409910793	100
88	del_20_intense	7.19557218508957	100
89	del_3	-13.6657045292058	100
90	del_3_intense	-2.15617399866986	100
91	del_5	23.6559077792753	100
92	del_5_intense	8.78474970772567	100
93	del_7	10.8045954882618	100
94	del_7_intense	-3.03406906130431	100
95	del_9	19.4872952884722	100
96	del_9_intense	-12.4468506752958	100
97	eln_2017_adverse	5.20598821705999	100
98	eln_2017_adverse_intense	-9.52887032802708	100
99	eln_2017_favorable	-3.41956913716296	100
100	eln_2017_favorable_intense	-35.6144348976112	100
