feature	coef	n
1	ASXL1	17.1771957632297	84
2	ASXL1_intense	13.7833432754525	57
3	BCOR	6.40796773254734	55
4	BCOR_intense	-4.42331490863955	28
5	CBL	15.097720442011	57
6	CBL_intense	-0.825565704039914	27
7	CEBPA_bi	-1.07611067027561	34
8	CEBPA_bi_intense	-11.9377956127737	48
9	CEBPA_mono	10.1432029557007	46
10	CEBPA_mono_intense	-23.7576708755125	83
11	DNMT3A	8.07036141657599	72
12	DNMT3A_intense	8.95973584843487	68
13	EZH2	19.1469384862496	83
14	EZH2_intense	-6.94995165285577	39
15	FLT3_TKD	-6.58214359108579	54
16	FLT3_TKD_intense	4.89508461841356	40
17	FLT3_other	-1.44205565108796	38
18	FLT3_other_intense	4.70892027312935	43
19	GATA2	-20.8784680414373	85
20	GATA2_intense	2.80801781124736	28
21	IDH1	7.58356336312534	41
22	IDH1_intense	-10.9009047632207	54
23	IDH2_p.R140	1.39403623809836	36
24	IDH2_p.R140_intense	6.24268480112686	58
25	IDH2_p.R172	-5.93545942058495	37
26	IDH2_p.R172_intense	-44.500104695049	94
27	ITD	29.699584346782	99
28	ITD_intense	1.36676158029641	26
29	KIT	6.74968617483651	35
30	KIT_intense	1.03636464649445	24
31	KRAS	7.02307399725896	53
32	KRAS_intense	17.4020278683522	68
33	MLL	6.59961356084572	53
34	MLL_intense	2.81185365929315	42
35	MYC	-1.45163599528165	17
36	MYC_intense	-18.090958933566	66
37	NF1	3.93722142327205	43
38	NF1_intense	-1.8948862885029	36
39	NPM1	1.00862663955429	15
40	NPM1_intense	-7.41482878315257	45
41	NRAS_p.G12_13	5.81609734445046	56
42	NRAS_p.G12_13_intense	-1.84521085487315	29
43	NRAS_p.Q61_62	29.0521087145223	88
44	NRAS_p.Q61_62_intense	5.00629689901804	31
45	PHF6	1.93657423500537	44
46	PHF6_intense	-2.71703574067306	35
47	PTPN11	-5.71491269176161	56
48	PTPN11_intense	-3.90463520531031	44
49	RAD21	3.03851768143309	22
50	RAD21_intense	-22.429799004763	82
51	RUNX1	-0.223056711596887	32
52	RUNX1_intense	1.25880416564681	40
53	SF3B1	6.53334681671107	48
54	SF3B1_intense	19.2714581588338	75
55	SMC1A	-2.43272624754371	39
56	SMC1A_intense	23.225252873828	76
57	SMC3	8.03245471951441	40
58	SMC3_intense	-9.32050242022424	31
59	SRSF2	8.16990319842212	73
60	SRSF2_intense	9.78683715337806	64
61	STAG2	2.2741074197163	51
62	STAG2_intense	-2.38794317164739	46
63	TET2	12.034361743691	89
64	TET2_intense	-0.333104893262141	22
65	TP53	74.2783447634915	100
66	TP53_intense	10.7645156858135	50
67	U2AF1_p.S34	20.6004458348793	80
68	U2AF1_p.S34_intense	5.66569207686855	47
69	WT1	10.2008289941715	52
70	WT1_intense	18.3850972538725	78
71	add_11	4.76522773469821	33
72	add_11_intense	26.6910403196551	89
73	add_13	14.9328071200978	69
74	add_13_intense	0.489926432726123	37
75	add_21	2.95232409943982	45
76	add_21_intense	-2.99846776290977	37
77	add_22	-14.0506056324996	56
78	add_22_intense	-21.802521342452	67
79	add_8	5.55489025682314	49
80	add_8_intense	-7.50348528123975	50
81	complex	12.0844286122518	66
82	complex_intense	7.70298024111184	43
83	del_12	8.11895776889587	53
84	del_12_intense	-2.1481924063978	28
85	del_16	-6.91779712108046	53
86	del_16_intense	11.3052918422293	49
87	del_17	3.99061884740866	35
88	del_17_intense	18.8396261844061	72
89	del_18	-2.35795801772558	24
90	del_18_intense	-36.4099593252003	84
91	del_20	5.57997509181471	50
92	del_20_intense	4.9890089181503	42
93	del_3	-8.04618353847837	51
94	del_3_intense	-0.233964966019271	37
95	del_5	11.24595374772	65
96	del_5_intense	14.9855907468509	72
97	del_7	7.01081556422664	62
98	del_7_intense	7.65967237963908	52
99	del_9	10.5240618491872	53
100	del_9_intense	-4.28127920568017	28
101	eln_2017_adverse	6.64520463456704	55
102	eln_2017_adverse_intense	1.91972648234922	28
103	eln_2017_favorable	0.809940116343557	8
104	eln_2017_favorable_intense	-40.3018627091492	99
105	eln_2017_intermediate	-7.21641559861559	56
106	eln_2017_intermediate_intense	-0.312365273114466	23
107	intense	-127.394064286568	100
108	inv_16	-50.9487099329634	100
109	inv_16_intense	-12.0325508672566	42
110	minusy	5.53796047013871	46
111	minusy_intense	4.61360845692907	33
112	others_transloc	13.1503423651699	59
113	others_transloc_intense	2.48406745236579	37
114	t_8_21	-2.25254498752048	14
115	t_8_21_intense	-58.1751933299905	98
116	t_v_11	6.95040319976516	45
117	t_v_11_intense	-3.99759155711836	32
