feature	coef	n
1	add_11_intense	0.842895450167461	94
2	add_13_intense	0.0422043781611705	16
3	add_21_intense	-0.00419914515516852	8
4	add_22_intense	-0.13802579458899	39
5	add_8_intense	-0.062503721316047	17
6	complex_intense	1.23018739058337	84
7	del_12_intense	0.0419401309836102	20
8	del_16_intense	0.0813969822023002	34
9	del_17_intense	0.962388473315601	96
10	del_18_intense	-0.0668093369566666	29
11	del_20_intense	0.124751129449196	37
12	del_3_intense	0.0468127374410216	21
13	del_5_intense	1.31803932972994	95
14	del_7_intense	0.589486095429829	76
15	del_9_intense	-0.0361631191452367	16
16	eln_2017_adverse_intense	3.46481827776502	96
17	eln_2017_favorable_intense	-10.0788574774895	100
18	eln_2017_intermediate_intense	-1.11073999526154	96
19	intense	-17.4710816539098	100
20	inv_16_intense	-1.70424971960374	100
21	minusy_intense	0.0294930931773303	7
22	others_transloc_intense	0.0679519599285339	30
23	t_8_21_intense	-1.83040906619611	100
24	t_v_11_intense	-0.00912629924339658	13
