feature	coef	n
1	ASXL1_intense	29.4722263751211	95
2	BCOR_intense	-0.00169140331117289	41
3	CBL_intense	10.4997848179668	59
4	CEBPA_bi_intense	-14.916891047725	60
5	CEBPA_mono_intense	-16.0301654296507	79
6	DNMT3A_intense	16.8240536407492	92
7	EZH2_intense	5.28793569773965	66
8	FLT3_TKD_intense	0.334155389682205	53
9	FLT3_other_intense	4.78109282548424	57
10	GATA2_intense	-9.25617010842032	64
11	IDH1_intense	-5.86638529894969	62
12	IDH2_p.R140_intense	7.39482519993311	71
13	IDH2_p.R172_intense	-51.8640125353513	98
14	ITD_intense	26.1865383848961	100
15	KIT_intense	4.74833518919314	45
16	KRAS_intense	23.1191475605625	87
17	MLL_intense	8.68984162398154	68
18	MYC_intense	-19.9216797180637	71
19	NF1_intense	-0.714469424594425	51
20	NPM1_intense	-5.29087228896061	37
21	NRAS_p.G12_13_intense	0.803334045798831	42
22	NRAS_p.Q61_62_intense	28.2601688714205	91
23	PHF6_intense	-1.91981255882442	53
24	PTPN11_intense	-8.47959080160827	71
25	RAD21_intense	-20.5511346386161	88
26	RUNX1_intense	2.87219849429548	44
27	SF3B1_intense	24.7915543707628	85
28	SMC1A_intense	21.7563844064756	82
29	SMC3_intense	-4.26118202917471	42
30	SRSF2_intense	17.0462932111145	92
31	STAG2_intense	-1.20003393396705	61
32	TET2_intense	8.46239657003455	77
33	TP53_intense	79.1325045297832	100
34	U2AF1_p.S34_intense	23.230226090466	91
35	WT1_intense	26.9453412636067	99
36	add_11_intense	32.724003293247	95
37	add_13_intense	11.0975791426287	67
38	add_21_intense	-1.15099569828292	50
39	add_22_intense	-33.4989320236768	89
40	add_8_intense	-3.98033244101333	55
41	complex_intense	19.2346706529173	84
42	del_12_intense	2.38416807425638	49
43	del_16_intense	7.70537555679208	56
44	del_17_intense	23.5634040056886	79
45	del_18_intense	-38.4485850886498	87
46	del_20_intense	10.225400615611	63
47	del_3_intense	-4.94079631952156	54
48	del_5_intense	26.0657497668296	89
49	del_7_intense	13.3071356908004	79
50	del_9_intense	2.70022609112687	50
51	eln_2017_adverse_intense	9.16926247113429	81
52	eln_2017_favorable_intense	-40.480041995273	100
53	eln_2017_intermediate_intense	-6.13995256083975	79
54	intense	-151.525376176969	100
55	inv_16_intense	-57.6155899451661	100
56	minusy_intense	9.01711301899286	56
57	others_transloc_intense	12.513949769282	68
58	t_8_21_intense	-59.54749503404	98
59	t_v_11_intense	-0.721639771197442	66
