feature	coef	n
1	ASXL1	21.4605542460804	90
2	ASXL1_intense	16.7344926336533	63
3	BCOR	7.55177512106346	62
4	BCOR_intense	-3.09573391449656	26
5	CBL	14.9486124536837	59
6	CBL_intense	-0.840328135183213	25
7	CEBPA_bi	-5.13136819275911	37
8	CEBPA_bi_intense	-32.3339880711944	85
9	CEBPA_mono	9.80912938997606	42
10	CEBPA_mono_intense	-22.9536131076162	81
11	DNMT3A	7.90873721154233	68
12	DNMT3A_intense	9.97972375585421	69
13	EZH2	18.4512956068525	84
14	EZH2_intense	-5.04386351477373	34
15	FLT3_TKD	-6.67095885678057	55
16	FLT3_TKD_intense	4.64692807419604	33
17	FLT3_other	-0.998718318167218	32
18	FLT3_other_intense	5.44571348556927	43
19	GATA2	-21.3004818133223	87
20	GATA2_intense	1.6173515993278	28
21	IDH1	8.1656628618608	39
22	IDH1_intense	-11.2441410226054	51
23	IDH2_p.R140	0.965532137124881	36
24	IDH2_p.R140_intense	5.04251663439004	55
25	IDH2_p.R172	-7.58614060770897	43
26	IDH2_p.R172_intense	-41.5314774302396	88
27	ITD	30.8896757995108	98
28	ITD_intense	2.92103587653298	32
29	KIT	5.72922287151344	33
30	KIT_intense	0.388008699116435	20
31	KRAS	7.61496735169089	48
32	KRAS_intense	17.7554860192126	64
33	MLL	10.4773235977908	68
34	MLL_intense	7.25167270858793	56
35	MYC	-2.32617012847595	20
36	MYC_intense	-18.8869640879372	68
37	NF1	3.77824067069966	41
38	NF1_intense	-0.974293675509368	31
39	NPM1	0.925376361509653	20
40	NPM1_intense	-37.6677927004322	100
41	NRAS_p.G12_13	5.73440649253889	55
42	NRAS_p.G12_13_intense	-1.44736226536144	29
43	NRAS_p.Q61_62	27.7360582794977	85
44	NRAS_p.Q61_62_intense	5.46109518735102	32
45	PHF6	2.39608506134729	40
46	PHF6_intense	-2.56140345614272	34
47	PTPN11	-5.92883416760004	56
48	PTPN11_intense	-4.19169622868739	45
49	RAD21	2.77180714256414	21
50	RAD21_intense	-20.5950746312144	77
51	RUNX1	2.42351481212473	48
52	RUNX1_intense	3.85441012844541	56
53	SF3B1	7.17600300879035	46
54	SF3B1_intense	21.5983338206027	75
55	SMC1A	-3.93940981103265	36
56	SMC1A_intense	22.6410338622206	74
57	SMC3	7.37188144781871	38
58	SMC3_intense	-10.1041560985498	35
59	SRSF2	8.80336655716292	72
60	SRSF2_intense	10.6287768093018	68
61	STAG2	2.77309955982416	48
62	STAG2_intense	-2.0763455462123	46
63	TET2	11.0504189220477	86
64	TET2_intense	-0.525458497013674	19
65	TP53	78.3242137135283	100
66	TP53_intense	13.8213442755601	57
67	U2AF1_p.S34	20.7213521238098	78
68	U2AF1_p.S34_intense	8.16074306535593	52
69	WT1	9.47269476031314	47
70	WT1_intense	18.9084768247941	76
71	add_11	5.12430593283373	30
72	add_11_intense	25.8397207831075	87
73	add_13	14.8143074267632	66
74	add_13_intense	1.26984274117877	37
75	add_21	3.67481163377954	42
76	add_21_intense	-1.30205833536882	32
77	add_22	-11.465001809032	50
78	add_22_intense	-23.9309118195184	71
79	add_8	5.81922017785565	50
80	add_8_intense	-6.94143381065482	44
81	complex	14.3545512387048	70
82	complex_intense	11.1550570416622	53
83	del_12	7.52374607158012	50
84	del_12_intense	-1.88920148355685	28
85	del_16	-5.72401230356125	47
86	del_16_intense	11.4731179898303	46
87	del_17	3.16456510085067	27
88	del_17_intense	17.3471224025589	67
89	del_18	-2.6798045613162	23
90	del_18_intense	-39.0614191327814	85
91	del_20	6.01615052748721	50
92	del_20_intense	5.55990086065386	41
93	del_3	-8.37023137052588	53
94	del_3_intense	-2.3050577449501	36
95	del_5	10.6938343546062	58
96	del_5_intense	18.4736764894412	77
97	del_7	8.7460154081015	64
98	del_7_intense	9.85919972702818	62
99	del_9	11.1738150048309	55
100	del_9_intense	-2.9589287623064	26
101	intense	-133.353804862569	100
102	inv_16	-73.0986276746989	100
103	inv_16_intense	-20.1673675456195	49
104	minusy	5.80832898159759	39
105	minusy_intense	4.56101647757953	34
106	others_transloc	13.5123121639735	62
107	others_transloc_intense	3.15989991639831	35
108	t_8_21	-2.7164157893454	10
109	t_8_21_intense	-91.8008781402723	100
110	t_v_11	7.01366521662229	46
111	t_v_11_intense	-3.95299721141178	31
