feature	ref_CI	permuted_CI	algo	model
1	ahd	0.5	0.5	Lasso	clin_demo_mrd
2	ahd	0.5	0.5	Lasso	clin_demo_mrd
3	ahd	0.5	0.5	Lasso	clin_demo_mrd
4	ahd	0.5	0.5	Lasso	clin_demo_mrd
5	perf_status	0.5	0.5	Lasso	clin_demo_mrd
6	perf_status	0.5	0.5	Lasso	clin_demo_mrd
7	perf_status	0.5	0.5	Lasso	clin_demo_mrd
8	perf_status	0.5	0.5	Lasso	clin_demo_mrd
9	bm_blasts	0.5	0.5	Lasso	clin_demo_mrd
10	bm_blasts	0.5	0.5	Lasso	clin_demo_mrd
11	bm_blasts	0.5	0.5	Lasso	clin_demo_mrd
12	bm_blasts	0.5	0.5	Lasso	clin_demo_mrd
13	secondary	0.5	0.5	Lasso	clin_demo_mrd
14	secondary	0.5	0.5	Lasso	clin_demo_mrd
15	secondary	0.5	0.5	Lasso	clin_demo_mrd
16	secondary	0.5	0.5	Lasso	clin_demo_mrd
17	wbc	0.5	0.5	Lasso	clin_demo_mrd
18	wbc	0.5	0.5	Lasso	clin_demo_mrd
19	wbc	0.5	0.5	Lasso	clin_demo_mrd
20	wbc	0.5	0.5	Lasso	clin_demo_mrd
21	hb	0.5	0.5	Lasso	clin_demo_mrd
22	hb	0.5	0.5	Lasso	clin_demo_mrd
23	hb	0.5	0.5	Lasso	clin_demo_mrd
24	hb	0.5	0.5	Lasso	clin_demo_mrd
25	plt	0.5	0.5	Lasso	clin_demo_mrd
26	plt	0.5	0.5	Lasso	clin_demo_mrd
27	plt	0.5	0.5	Lasso	clin_demo_mrd
28	plt	0.5	0.5	Lasso	clin_demo_mrd
29	gender	0.5	0.5	Lasso	clin_demo_mrd
30	gender	0.5	0.5	Lasso	clin_demo_mrd
31	gender	0.5	0.5	Lasso	clin_demo_mrd
32	gender	0.5	0.5	Lasso	clin_demo_mrd
33	age	0.5	0.5	Lasso	clin_demo_mrd
34	age	0.5	0.5	Lasso	clin_demo_mrd
35	age	0.5	0.5	Lasso	clin_demo_mrd
36	age	0.5	0.5	Lasso	clin_demo_mrd
37	CR_MRD_neg	0.5	0.5	Lasso	clin_demo_mrd
38	CR_MRD_neg	0.5	0.5	Lasso	clin_demo_mrd
39	CR_MRD_neg	0.5	0.5	Lasso	clin_demo_mrd
40	CR_MRD_neg	0.5	0.5	Lasso	clin_demo_mrd
