feature	ref_CI	permuted_CI	algo	model
1	gender	0.5	0.5	Lasso	demo_mrd
2	gender	0.5	0.5	Lasso	demo_mrd
3	gender	0.5	0.5	Lasso	demo_mrd
4	gender	0.5	0.5	Lasso	demo_mrd
5	age	0.5	0.5	Lasso	demo_mrd
6	age	0.5	0.5	Lasso	demo_mrd
7	age	0.5	0.5	Lasso	demo_mrd
8	age	0.5	0.5	Lasso	demo_mrd
9	CR_MRD_neg	0.5	0.5	Lasso	demo_mrd
10	CR_MRD_neg	0.5	0.5	Lasso	demo_mrd
11	CR_MRD_neg	0.5	0.5	Lasso	demo_mrd
12	CR_MRD_neg	0.5	0.5	Lasso	demo_mrd
13	CR_MRD_pos	0.5	0.5	Lasso	demo_mrd
14	CR_MRD_pos	0.5	0.5	Lasso	demo_mrd
15	CR_MRD_pos	0.5	0.5	Lasso	demo_mrd
16	CR_MRD_pos	0.5	0.5	Lasso	demo_mrd
17	all_others	0.5	0.5	Lasso	demo_mrd
18	all_others	0.5	0.5	Lasso	demo_mrd
19	all_others	0.5	0.5	Lasso	demo_mrd
20	all_others	0.5	0.5	Lasso	demo_mrd
21	gender	0.5	0.5	Lasso	demo_mrd
22	gender	0.5	0.5	Lasso	demo_mrd
23	gender	0.5	0.5	Lasso	demo_mrd
24	gender	0.5	0.5	Lasso	demo_mrd
25	age	0.5	0.5	Lasso	demo_mrd
26	age	0.5	0.5	Lasso	demo_mrd
27	age	0.5	0.5	Lasso	demo_mrd
28	age	0.5	0.5	Lasso	demo_mrd
29	CR_MRD_neg	0.5	0.5	Lasso	demo_mrd
30	CR_MRD_neg	0.5	0.5	Lasso	demo_mrd
31	CR_MRD_neg	0.5	0.5	Lasso	demo_mrd
32	CR_MRD_neg	0.5	0.5	Lasso	demo_mrd
33	CR_MRD_pos	0.5	0.5	Lasso	demo_mrd
34	CR_MRD_pos	0.5	0.5	Lasso	demo_mrd
35	CR_MRD_pos	0.5	0.5	Lasso	demo_mrd
36	CR_MRD_pos	0.5	0.5	Lasso	demo_mrd
37	all_others	0.5	0.5	Lasso	demo_mrd
38	all_others	0.5	0.5	Lasso	demo_mrd
39	all_others	0.5	0.5	Lasso	demo_mrd
40	all_others	0.5	0.5	Lasso	demo_mrd
41	gender	0.5	0.5	Lasso	demo_mrd
42	gender	0.5	0.5	Lasso	demo_mrd
